Pre,runoff,
129.2243144,149.51562,
143.425331,145.71875,
135.6544382,139.98438,
134.2434816,134.1875,
149.4867229,129.53125,
124.9686689,125.73438,
128.8158945,122.35938,
142.0933869,119.25,
148.8998114,116.54688,
148.3923293,114.35938,
142.4450677,112.51563,
143.2099096,110.92188,
147.6292086,109.48438,
143.3568272,108.0625,
182.1669744,107.10938,
190.4917509,109.89063,
177.8960683,119.875,
166.581679,128.48438,
201.7587177,132.89062,
175.4414439,132.65625,
179.4954212,127.42188,
166.0729461,121.39063,
169.1936335,116.76563,
158.8804392,113.4375,
160.3779771,110.90625,
155.378277,108.90625,
143.7308081,107.57813,
165.8812038,107.96875,
181.2951862,108.90625,
214.8497381,108.67188,
198.0208544,109.625,
204.0477592,139.70312,
235.0965868,280.82812,
311.119613,389.28125,
368.6649704,369.54688,
311.5551383,323.89062,
272.92708,282.76562,
244.6587298,246.53125,
223.9221664,216.51562,
231.0223834,194.04688,
207.2390992,176.84375,
187.5430072,162.15625,
171.7331501,150,
196.2190689,141.89062,
199.5019291,141.25,
220.2215055,147.15625,
221.4085204,161.59375,
242.7851371,175.78125,
194.3150622,175.00781,
210.9788974,166.875,
222.2280435,161.88281,
224.7284334,157.45312,
221.4762866,155.41406,
220.0284804,159.32031,
242.8718573,161.375,
254.6645441,158.52344,
187.7267211,153.25,
207.1134447,147.27344,
182.9322973,140.96094,
171.1419732,135.55469,
149.9806817,140.16406,
273.1654109,225.71875,
356.3668006,429.16406,
552.6152503,651.5703,
730.8029553,827.625,
980.3602366,878.1719,
1044.624785,824.7422,
884.8278363,750.85156,
708.5731196,671.25,
664.2386535,592.16406,
589.1008106,520.15625,
565.609384,457.0547,
521.4083337,404.60938,
378.2340194,359.59375,
318.0831644,321.85938,
327.7030567,292.26562,
275.6261182,266.3125,
319.9742892,256.5703,
259.0227904,257.98438,
260.1374316,254,
244.1279533,245.08594,
235.5305727,229.34375,
240.2377738,210.73438,
228.1789184,193.33594,
211.9255075,178.39062,
205.8367056,166.33594,
201.4156748,157.71094,
205.8590912,152.09375,
201.945008,148.28906,
201.9479692,145.63281,
193.887095,144.35156,
188.4933803,143.78906,
185.8841305,144.42188,
197.6661055,146.41406,
285.4842559,148.5625,
202.6316712,149.5,
178.540804,147.22656,
175.812346,144.05469,
172.4244958,141.89062,
174.8710169,142.1875,
181.1200567,142.42188,
191.4133027,139.72656,
188.7723453,137.59375,
172.8446056,136.57031,
169.2504848,136.03125,
188.5048832,135.76562,
187.6134353,135.70312,
184.2188823,136.40625,
207.2138806,137.92969,
171.478944,138.35156,
167.6298261,136.76562,
181.4826523,134.23438,
178.4230069,131.85156,
170.8723409,129.96094,
162.1735408,128.4375,
168.4529091,127.15625,
173.1791497,126.00781,
186.7096188,124.96875,
176.0362556,124.05469,
168.0455422,123.15625,
161.4043586,122.23438,
171.3874452,121.26563,
170.2037978,120.23438,
162.9203373,119.19531,
183.7511683,118.14063,
177.1405698,117.04688,
166.9062491,116.02344,
169.6139144,115.19531,
175.4107839,114.4375,
170.3066497,113.58594,
163.9162941,112.71875,
147.668068,111.90625,
162.1547578,111.04688,
160.1849305,110.03125,
122.0684488,108.90625,
152.4539609,107.82813,
160.3370651,106.8125,
149.831145,105.82813,
156.386966,104.8125,
152.1585755,103.75,
151.6649374,102.70313,
150.8584459,101.71875,
148.7392956,100.79688,
144.3477702,99.9375,
140.004779,99.10938,
138.8994599,98.28125,
139.1775375,97.39063,
144.9749202,96.46875,
128.1038791,95.48438,
139.5853,94.45313,
136.7765573,93.4375,
128.207923,92.46875,
137.0694197,91.53125,
138.3909835,90.60938,
140.1278892,89.70313,
156.2354195,88.8125,
172.5214894,87.90625,
165.9708745,87.01563,
139.1250906,86.10938,
122.8603159,85.1875,
144.2897964,84.25,
141.6769867,83.3125,
136.2642592,82.40625,
131.0030569,81.51563,
127.617457,80.60938,
129.6158649,79.71875,
117.842485,78.85938,
131.8125096,77.98438,
130.8377892,77.03125,
135.4247665,76,
158.516101,75.0625,
195.989162,74.1875,
188.5877014,73.40625,
211.6063682,72.6875,
186.8945086,71.96875,
168.3273615,71.21875,
