XAJ,TCN-GRU,runoff
34.75906644,118.774011,122.30469
136.8662442,96.03116081,121.17969
304.9663387,94.54723716,120.05469
-49.34149456,108.6153405,118.91406
-19.05235535,114.0467334,117.75781
61.67402699,112.340493,116.5625
137.5385948,108.2286434,115.36719
134.9215238,118.2139643,114.21875
182.0016333,114.3218338,113.125
201.7395361,109.6160064,112.07031
205.8247853,110.0252441,111
139.9768485,111.2375845,109.91406
168.4958638,109.8173059,108.84375
188.727603,103.8960967,107.78125
172.0197483,104.1332357,106.72656
197.1959429,96.50628321,105.671875
191.8650608,99.04118692,104.60156
163.4597496,103.991722,103.484375
270.1777298,104.8320111,102.375
292.1256646,100.7758904,101.3125
231.0194517,102.6885991,100.28906
163.8908785,91.54543727,99.22656
116.7882807,96.41575723,98.171875
218.8679564,108.4312365,97.171875
240.3401258,105.2171153,96.21875
310.8336198,99.05740955,95.28906
347.921601,84.69056406,94.33594
252.7212341,93.30097092,93.390625
208.5050534,91.73085624,92.453125
129.1665696,91.99602529,91.53125
165.0608715,96.94621294,90.609375
305.0640114,102.3561609,89.671875
349.6465594,94.65147352,88.75
275.1267503,91.89680271,87.828125
230.5750048,91.44492115,86.9375
168.5595944,90.1925133,86.03125
202.8182459,93.8375041,85.609375
322.5948971,97.62447357,86.921875
161.1106217,106.7323564,89.296875
132.560171,101.7185825,89.515625
-36.41677615,95.93237118,87.6875
96.81989153,93.72696042,85.8125
276.2551092,94.87415908,84.265625
310.637596,89.75634925,82.90625
167.681518,82.18444414,81.65625
137.9297821,97.66429517,80.5
286.8373241,88.23695498,79.40625
248.2534305,81.94258541,78.59375
35.1016712,65.90032519,79.984375
-96.22822465,77.02854188,81.125
86.26002489,75.14000678,80.171875
11.08539007,80.40036188,78.65625
158.7236108,88.9654523,77.234375
174.0707617,87.07268382,75.875
240.3434748,78.30742975,74.5625
170.7045577,84.73435712,73.34375
263.9455278,76.00211757,72.265625
192.6765578,82.50857855,71.1875
74.59043248,85.06840418,70.078125
168.3421666,89.85990945,69.046875
268.2372635,83.8213228,70.90625
340.7382644,81.82827606,87.109375
292.3922608,97.22254273,112.34375
233.4068169,111.7586273,127.765625
149.3575819,119.1624452,133.07812
228.5557008,126.9769387,133.25
290.7579382,131.0897076,144.73438
387.8381394,133.8127082,186.45312
403.4119991,175.37232,257.03125
244.3329993,233.3877326,291.4375
365.9082122,258.9710491,276.6875
322.0317591,248.3564615,247.8125
312.6456525,224.0359118,221.6875
369.3984393,207.8599633,199.46875
373.1818938,184.8138116,180.75
357.5490501,175.2559661,165.375
392.8302222,167.4173445,152.6875
514.9667076,145.5697961,142.4375
354.5175841,134.4519223,134.25
55.48763786,112.1839861,127.46875
148.6239458,105.6996835,121.9375
-116.4235118,109.3117641,116.84375
-48.09089776,89.19747322,113.3125
51.4100911,84.62233283,112.5625
193.5591524,101.7532941,116.21875
12.53067393,103.0019229,117.03125
83.71539548,108.1131501,115.625
167.2875948,98.98236856,121.71875
159.3306043,108.3887423,125.21875
52.58225209,108.0711156,124.40625
-229.4179567,113.2519157,121.03125
-66.80783873,106.3039615,116.78125
26.75127879,99.17545251,112.5
-14.55587401,103.1417688,108
-120.5020598,99.3137056,103.46875
-20.54439917,94.22660116,99.4375
-82.52642565,92.50305307,96.0625
-145.7268626,83.08148301,93.375
-154.8117792,98.42805731,91.09375
-43.30288447,86.53269498,89.21875
87.41759568,72.63635366,87.875
-185.4403786,65.80207944,94.46875
-163.8460455,84.09855326,126.4375
179.425911,124.7223041,187.09375
79.88479698,172.8533503,255.8125
209.0629917,230.5672519,288.125
367.2548313,262.3465305,276.625
439.3502293,257.5953493,254.375
292.6876009,243.6616398,234.75
265.0587584,230.842208,226.4375
344.1085779,217.6556586,220.15625
251.4464187,213.934205,200.65625
267.2184475,193.1890572,177.125
198.3710346,170.2349495,154.8125
116.5819027,144.398635,136.1875
33.48149928,136.4423873,123.78125
59.92502606,142.6499592,127.9375
32.10524234,142.6645515,163
60.4535689,167.6252079,215.03125
115.973751,209.1774006,241.3125
341.8192172,217.0058877,237.15625
208.2591409,219.8018447,220.5
229.3099664,207.1710443,204.78125
213.2885304,197.1038994,190.25
195.8091298,179.9173804,178.15625
80.7474036,170.419882,177.125
155.7356412,169.0911878,185.90625
43.82655577,167.4411413,193.03125
129.6183401,169.1409514,192.28125
147.0831325,170.5752664,185.15625
147.0611281,163.4070267,174.25
196.3224754,163.2153913,163.09375
272.7091389,158.9347997,153.75
302.9386914,143.5163488,146
341.4753472,136.9020087,139.1875
-103.8947834,117.0012712,133.75
43.69445642,128.8328602,129.75
74.9537002,123.6603611,127.96875
234.8867946,142.5050941,130.5
-176.8281195,126.0653609,143.59375
170.9963044,150.5616708,167.4375
235.6172143,158.7164063,190.15625
233.8442845,170.092586,202.46875
220.0618349,177.3795956,197.875
199.0199787,170.304501,184.25
197.1112946,160.2425516,169.6875
266.2071912,146.4988312,157.3125
67.79832387,151.4171562,147.5
131.1886891,141.8990789,140.09375
92.04521624,126.6601726,134.65625
33.18613243,135.280297,130.84375
13.48700749,136.6388975,128.40625
169.5370105,140.3719929,126.8125
140.083037,138.433606,125.59375
158.1286395,129.021668,124.53125
255.0912809,121.6658444,123.5625
87.5938223,111.7922057,122.625
72.69627488,103.946598,121.5625
78.57585439,106.1645967,120.5625
188.4934292,153.5274014,123.0625
186.4789931,169.313729,160.90625
290.19338,163.8158368,251.71875
344.3646563,233.8137649,327.875
414.5864431,285.7964999,345.78125
221.0536913,314.8390461,323.28125
386.1007011,283.5059832,297.4375
392.634319,258.6566669,272.125
254.9499191,242.5724631,248.5
200.6148089,203.7333985,225.65625
35.38331286,182.1498057,201.5625
197.7814621,168.8182949,180.9375
85.11194672,151.44896,164.90625
-58.94541409,153.4722605,153
136.2720647,156.0190679,144.53125
109.8365848,142.2515508,138.90625
362.6037273,137.9520908,135.53125
138.6909996,128.9799969,133.375
100.9163666,137.0635294,131.875
138.3007422,136.4006094,130.5625
54.95279414,123.6055249,129.25
59.27097241,123.2393319,128
-38.9106771,131.5904548,126.8125
156.9552096,111.4921915,125.84375
105.9255572,100.9701075,124.96875
-92.31602883,112.8673941,129.28125
193.8771036,166.9203283,164.9375
251.1900662,175.8584321,227.5625
267.6143102,219.8217395,258.15625
305.9078928,239.1479342,258.15625
391.4573724,255.3334186,246.34375
480.5448743,268.2722617,233.875
158.9587507,261.099842,227.34375
528.0455914,268.6856793,233.78125
437.3343787,240.8023745,233.0625
253.0243031,220.6713238,219.15625
261.7607885,207.6494701,201.625
224.5313258,184.3116746,184.71875
195.2511009,166.2530787,170.15625
245.692614,156.0624815,158.9375
281.2923666,146.5371775,151.375
199.5777874,140.334566,149.03125
314.8504397,152.7396714,153.375
269.9623686,154.9121238,153.59375
338.7160396,153.3850913,149.46875
190.4888231,146.520415,144.90625
111.4916634,139.9961626,141.5
288.3644512,128.6512523,139.09375
132.0342849,125.3051052,137.53125
146.8668889,148.6233052,136.4375
96.79709074,124.8586383,135.3125
116.2807554,119.8375736,133.8125
80.00449576,120.6650396,132.3125
206.6166972,124.0453157,131.09375
97.10186042,117.4625816,130
84.81516563,122.9162318,128.9375
