XAJ,tcn-gru,runoff
60.08447926,49.665516,45.921875
69.61825836,47.32928,44.375
73.65220211,46.754505,43.8125
83.97322333,47.302464,43.648438
85.33618473,46.998486,43.351562
77.21074164,46.616253,42.773438
50.05282056,44.7487,41.820312
126.9757202,41.51226,40.828125
99.2124322,39.28093,40.007812
76.64210046,38.717854,39.34375
84.7536921,38.649784,38.757812
65.78035153,38.597095,38.234375
94.16419598,37.59823,37.796875
62.16189891,36.8187,37.429688
56.34256304,37.328648,37.054688
68.57963164,38.02951,36.640625
61.10384137,38.71752,36.304688
83.71797973,39.04358,35.953125
67.5078944,37.55041,35.523438
53.56599932,38.098186,35.078125
47.81066828,39.057014,34.703125
41.83658669,38.33399,34.320312
97.61657792,36.277863,34.023438
75.7560171,32.92931,33.820312
120.008115,31.713036,33.65625
150.8967022,33.023838,33.507812
73.43323825,33.966793,33.328125
46.87671981,34.01803,33.3125
58.44771885,34.644592,33.757812
58.41994945,35.326447,34.882812
59.20706137,35.45679,36.578125
58.9004898,35.525417,38.109375
113.8596851,36.649357,38.671875
54.63129287,38.583317,38.140625
66.16862454,38.152615,36.96875
13.736711,37.328526,35.59375
47.56176865,37.330303,34.21875
27.22976064,37.200535,33.046875
43.77454154,36.405308,32.109375
45.00265344,35.01457,31.328125
55.28141386,32.517338,30.765625
33.60929936,31.134224,30.328125
63.25071777,31.026371,29.96875
83.5874325,31.28645,29.578125
53.86751234,31.942175,29.109375
101.7140278,33.11191,28.859375
141.9954666,33.667397,29.609375
85.83821701,33.82159,31.6875
107.1047719,34.807774,35.59375
95.91601769,38.70363,42.53125
104.8857127,46.40241,50.34375
89.20149528,53.558422,55.6875
57.85612304,57.884197,57.703125
84.18486255,58.780796,56.734375
48.60501898,58.75526,53.53125
67.07424401,56.306583,49.1875
61.39792446,52.252636,44.921875
59.1800621,47.0787,41.09375
81.32245302,42.32191,37.9375
72.90097655,38.95349,35.390625
38.96019551,37.332825,33.65625
60.29403521,37.574192,32.34375
56.49871885,34.531334,31.109375
79.44566899,31.811352,30.140625
101.3097204,30.623484,29.375
60.09311149,31.502666,28.78125
108.7782165,32.22026,28.46875
69.95723126,32.47132,28.25
51.50316804,32.359287,27.984375
58.22735876,32.30202,27.84375
8.843824429,31.712898,27.75
54.74332901,30.285498,27.625
53.70955584,28.824932,27.46875
71.27443851,28.017662,27.28125
63.03889018,28.937054,26.78125
16.55136208,29.88638,26.03125
82.69681694,29.51376,25.21875
24.07847894,28.217367,24.46875
58.14644408,26.708733,23.875
65.9840123,27.29732,23.40625
133.6531761,28.010136,23.78125
109.9042514,28.210419,25.59375
70.9795465,29.254765,29.5
106.0125899,33.499317,36.71875
71.70648214,40.50593,46.9375
144.6881902,48.33118,56.96875
88.48586243,57.87117,65.09375
93.28195778,68.81859,69.96875
76.02388215,73.8223,70.53125
101.7806035,74.32825,67.6875
72.41502305,70.6437,63.1875
84.75686131,66.37018,58.90625
93.22488977,62.009956,55.53125
89.38082181,57.569626,53.40625
95.51974407,55.575138,53.8125
98.2418771,57.310703,56.03125
93.65264498,58.524353,58.90625
77.25914417,62.62338,60.5
97.32296024,64.98364,59.96875
57.95881776,65.187096,57.71875
142.5064524,61.573303,55.84375
138.3782523,60.56281,56.40625
139.1535129,61.775513,59.78125
82.47656766,65.33904,65.96875
119.7656923,68.91703,74.34375
93.96214198,75.11467,80.71875
104.2773234,83.45566,81.4375
72.14854314,85.3657,77.375
82.85327194,80.97531,70.9375
104.1383102,74.03611,63.6875
44.56370348,69.05431,57.34375
62.04603976,63.558346,52.25
37.19488802,56.590595,48.40625
24.82616268,52.72986,45.75
118.7858623,50.31164,44.90625
176.6595957,51.801075,47
167.9022823,53.45329,53.5
122.8621583,58.576794,63.25
118.849036,66.37481,70.8125
91.54668025,71.9418,73.59375
109.6878141,75.90905,72.71875
106.9465993,75.13775,70.0625
105.6682537,73.176704,66.59375
73.04622849,67.48244,63.125
79.31393608,62.830868,60.28125
123.4575383,62.023876,58.5625
92.25597468,63.785664,57.53125
119.6845228,61.562645,56.5625
103.5584881,59.292988,56.125
101.9034936,59.989666,55.53125
64.97491413,59.040936,54.46875
94.78024238,55.929432,52.90625
43.37576358,52.989296,50.9375
71.92260922,52.19997,48.71875
89.8892036,51.121944,46.84375
149.464007,51.267666,46
100.336129,51.415882,46.84375
102.859754,52.44816,49.46875
127.2612819,53.17181,53.59375
156.6228731,57.533123,57.875
124.4826017,63.026638,60.65625
102.2742473,65.482445,61.375
99.92738911,65.0442,60.5
90.96209328,63.333454,58.5625
60.49425528,61.42883,56.40625
112.7360215,59.094765,54.5625
81.91147246,55.621616,52.75
100.4936589,54.829227,52.09375
52.47376192,56.657223,53.65625
106.1097939,57.02684,57.28125
81.78501418,58.927464,63
108.1746807,67.76949,67.5
69.28094763,71.5579,68.21875
93.03430477,72.264885,66.03125
97.0501419,70.066216,62.53125
81.79229451,68.19133,59.9375
135.3350757,67.34081,60.53125
123.6411532,67.68936,64.90625
143.5900798,72.16587,82.34375
149.4957767,91.03599,224.59375
260.8550349,246.52277,465.03125
266.1731086,495.48657,544
318.4146948,575.7872,497.21875
340.4364755,529.7346,421.71875
274.4175634,452.24548,351.625
224.7648703,379.14377,304.125
234.2741961,328.55023,270.5625
238.2520248,293.21698,243.875
270.1022689,265.5948,224.1875
166.5951146,241.87138,206.71875
245.4490655,225.71355,193.03125
283.0816621,213.24467,185.84375
228.6502378,201.71355,184.625
128.8201805,199.92455,182.03125
153.3619627,197.61714,173.46875
134.9412399,187.72136,161.375
160.5261699,175.1213,148.40625
198.4203928,162.23604,136.40625
177.5731382,150.70883,126.65625
164.2421063,139.58423,118.25
120.977972,127.86226,111.34375
115.0327153,119.75309,105.46875
116.8808213,112.48563,99.65625
215.0726832,106.57851,93.84375
182.0224152,100.93176,88.0625
132.8209029,95.25817,82.90625
98.22709482,89.846,78.03125
149.3254592,82.95484,73.65625
173.2051416,79.82111,73.28125
183.3760573,81.352745,82.0625
187.5584998,91.374306,98.3125
111.2429229,108.86053,119.28125
249.8418618,132.95222,141.25
260.3379876,157.38945,159.46875
225.0169447,176.64006,168.5625
336.7317754,185.05672,168.25
221.8308876,182.95992,162.125
168.8464199,174.95894,152.59375
173.1489268,163.75992,141.28125
235.1505834,151.32713,129.6875
220.9423109,140.47885,120.125
179.7755978,133.31003,113.1875
185.7394708,126.17489,110.46875
206.3721275,122.3561,113.46875
160.3623238,124.11489,118.96875
164.6234315,130.01353,121.4375
179.1190608,133.17924,118.75
208.8273817,130.03474,118.9375
202.0146137,131.70914,146
240.326109,161.16454,236.03125
319.3335895,260.00378,402.375
410.5689385,435.50803,517.84375
506.031243,552.3209,527.875
487.0116607,562.5917,491.875
411.4161602,523.97266,459.75
381.4853294,488.37616,439.0625
446.2331873,466.46442,419.78125
391.4261779,446.2594,393.5625
425.9660872,419.9499,358.90625
429.087519,382.55505,322.90625
478.9087124,343.7038,295.125
380.2369694,315.92468,277.95312
336.9574545,301.6905,288.01562
314.713319,312.95428,339.5625
310.3682383,365.3341,391.0625
265.8111091,417.6267,399.82812
339.944516,426.79086,373.76562
310.9498444,400.4709,332.125
276.1518769,358.33057,289.9375
254.6786805,314.31348,258.03125
324.0747555,282.83188,247.65625
459.5320062,274.1861,273.23438
724.9162961,304.3084,394.8125
915.1837475,431.3733,572.09375
815.5241629,610.85046,658.03125
588.6033576,695.99634,652.90625
580.1674424,688.62256,612.7969
564.2192494,646.589,569
433.8918255,601.3996,530.875
403.7182507,563.04785,495.20312
409.1310019,526.68713,450.70312
342.3520547,481.4498,401.92188
350.2887855,432.049,356.78125
285.0412113,385.42114,321.5
299.4568568,348.39,294
324.6201706,319.26343,270.35938
337.4801088,295.07907,247.59375
260.8695734,269.31866,226.85938
288.7124685,248.81462,224
335.8051239,246.86165,265.40625
284.4879065,291.08325,329.45312
336.055248,358.42047,367.60938
352.400169,397.5503,356.71875
317.2499755,385.27588,322.5625
250.1319889,348.4698,287.10938
232.3016153,310.84796,254.625
297.025959,276.68176,229.625
279.7369448,251.33272,217.1875
284.7631405,237.08238,216.98438
247.1822487,237.06345,214.89062
180.6525946,235.50151,207.78125
268.5499746,227.26848,211.75
209.127083,228.88853,224.70312
253.5083541,243.9972,225.14062
242.78174,245.4798,213.34375
230.8492733,231.45116,197.71875
223.315365,212.17473,182.45312
221.9348732,195.31181,170.75
156.1463275,182.87386,163.85938
225.902197,178.13258,160.79688
224.2305586,176.48042,161.17188
249.7658893,175.74948,161.07812
254.2550253,176.04045,155.90625
246.6792524,168.92638,146.59375
223.6974658,158.69936,135.625
210.3308966,147.49675,124.0625
184.236787,134.28586,112.578125
151.1041859,120.90817,101.59375
147.944513,108.061844,91.5625
186.4427149,97.53949,82.5625
188.5670412,88.18957,75.046875
229.3107197,80.44921,68.875
137.159889,72.26501,63.875
140.6518529,67.45438,60.046875
103.0442666,63.288456,57.03125
153.5312053,60.251343,54.46875
132.9368895,57.48911,52.25
89.29304789,56.657745,51.046875
80.05884537,55.586338,50.789062
91.7509394,53.671276,51.148438
91.58112052,52.985798,51.3125
120.1428066,52.28999,50.648438
136.8233872,52.72226,49.632812
150.8130394,53.382637,48.445312
126.3677409,52.350647,47.492188
117.3800279,52.309994,47.773438
97.30704768,53.15527,49.820312
149.5222607,54.863583,53.140625
103.8013762,56.34786,56.945312
104.4985478,59.602608,59.40625
119.4917991,61.864918,59.054688
128.0872499,61.449837,56.617188
157.6585522,58.590515,53.554688
173.4845311,55.82188,50.820312
194.4578783,54.717815,49.523438
158.8655462,54.717422,49.539062
147.3383067,54.520668,50.234375
268.4796314,53.250362,51.554688
100.6882996,52.732944,53.015625
154.7193946,54.590485,54.210938
135.5998602,56.507717,55.007812
127.5397295,59.45199,56.382812
186.7400781,60.71792,59.5
149.2031896,61.420155,64.42969
155.2143238,64.66087,72.00781
116.8889881,73.91771,81.08594
103.0318889,85.240715,86.80469
150.6786359,91.44326,87.39844
97.62899991,92.829735,84.296875
132.3052075,87.7595,80.25781
125.1653013,82.16125,76.625
114.5649571,78.81397,72.78906
98.80232929,76.014275,68.30469
81.05637204,71.6773,63.523438
109.9299597,66.47173,58.953125
101.8799794,60.71067,55.078125
