XAJ,TCN-GRU,runoff
67.48681351,16.0220342,19.367188
61.8241199,13.12292017,19.203125
68.91430324,15.75266341,19.03125
74.88950605,17.28949055,18.84375
70.08157874,18.05300834,18.679688
74.79795658,18.22527209,18.492188
92.53421075,18.34507538,18.546875
115.6677095,21.59331027,19.359375
106.9352698,25.75621415,20.882812
94.50404436,24.57871278,22.109375
88.45757235,23.06530734,22.640625
87.61549003,26.50525572,23.023438
79.72690846,26.82424385,23.390625
69.05669081,21.45814651,23.171875
71.44100568,16.76237682,22.125
86.61398336,15.3600818,20.898438
88.46749424,14.03452635,20.078125
91.40930498,20.13696585,19.640625
87.05165318,20.8044086,19.367188
79.05759679,15.58365835,19.101562
87.88664767,18.19513216,18.851562
97.79597074,20.00842736,18.59375
115.9990141,20.92964414,18.34375
120.6882703,26.10575279,18.171875
134.8139392,23.60435768,18.070312
130.9188386,19.76865975,17.945312
125.6231247,16.896697,17.789062
107.5674554,12.7228578,17.601562
84.71903406,7.918695745,17.414062
79.73239974,11.27870923,17.226562
82.07763455,11.73702897,17.1875
111.125665,21.20077735,17.5
124.9823418,25.13901956,17.75
137.6354878,22.23684992,17.5
129.938837,18.16561143,17.140625
111.0773702,13.14729971,16.875
125.8260053,13.42952651,16.671875
137.9305141,14.47716023,16.484375
133.2538269,11.3633786,16.296875
122.9150824,9.20796298,16.109375
109.2909285,14.19118725,15.921875
84.70410637,8.112703979,15.765625
99.89488057,8.011450678,15.625
112.7923908,9.020594407,15.46875
88.72348229,4.303608402,15.3125
76.3122787,4.545167207,15.15625
74.79750316,7.318109432,15.015625
96.02734673,19.04739917,14.921875
108.6530999,16.72792324,14.8125
91.79542786,11.61742267,14.65625
81.42866023,10.99910754,14.59375
80.37304271,16.24983061,14.609375
89.54477937,16.99087017,14.6875
94.87093298,11.10991223,14.671875
79.22163316,8.017115887,14.5625
55.91866948,1.581913688,14.390625
54.74990891,6.198235158,14.203125
55.69175552,7.192832945,14.046875
52.52984179,6.167504248,13.90625
40.72359682,4.364469282,13.78125
42.03784523,3.882743903,13.625
60.9909817,3.331707973,13.515625
66.52494498,9.556470176,13.390625
50.6946658,9.099171377,13.25
57.71335183,11.54706684,13.4375
95.91347573,27.76204567,16.125
117.2493516,37.14277534,24.359375
106.7243253,29.75888635,36.609375
110.380712,36.13513175,39.375
124.6710622,34.27729731,35.6875
135.3146742,35.46734758,31
111.1826708,30.06526581,27.21875
123.5511204,35.36876254,25.25
122.2292591,24.3517558,24.75
113.250053,16.05931457,23.1875
122.6303175,16.46528452,20.90625
118.567224,14.47994138,18.78125
97.24755366,15.574906,17.375
93.93196798,15.69858108,16.625
92.77804589,8.949489337,16.03125
95.83053141,16.31062951,15.8125
127.8761141,43.66102614,16.90625
111.9438483,35.54274056,20.71875
88.47096014,22.15375539,26.25
101.5568666,30.16023636,27.9375
97.84832684,30.3275609,27.625
81.41793842,24.59374069,27.34375
82.13159476,27.25213259,27.21875
96.53241376,30.03727067,28.8125
109.7872026,38.45283198,35.9375
101.6967738,45.10817663,51.28125
87.38573994,50.90344317,60.5
98.77794305,61.32860985,59.28125
96.6795145,61.73930708,56
106.0157663,60.48747626,53.59375
100.4199725,52.59834889,51.90625
98.31961555,51.52167806,48.5
122.4296339,48.85128287,44.96875
130.7217334,39.65133081,42.28125
124.5712386,38.1184463,38.75
124.3343308,38.18338096,35.34375
121.3209713,35.23413884,33.0625
116.3916504,30.33436712,31.75
126.0555728,39.34821833,32.84375
149.43733,49.39797832,37.5
134.6375013,44.43359731,41.78125
134.9712756,37.39570994,41.625
138.9607362,39.33146065,38.21875
147.7721699,40.65544845,34.4375
136.7915614,25.89349836,31.15625
118.9658991,21.40726808,28.5625
128.0360799,25.26109103,26.9375
129.1316767,26.70157918,26.21875
133.7639496,34.95122589,27.8125
147.4367416,55.19590758,33.5
146.8184873,52.79997234,40.1875
143.1856016,47.30207229,43.1875
134.1149988,48.24747938,42.25
116.8922755,45.30439717,40.5625
97.75850162,40.77270577,39.28125
95.87114329,38.74265518,36.96875
103.9900948,36.13457176,34.28125
124.9354172,43.34519986,34.03125
109.1742895,40.59650106,36.5625
105.8964795,37.06549875,36.53125
97.01089799,27.87480757,34.5
98.54689737,31.18743317,33.21875
108.2890222,31.86809272,33.34375
129.6166645,39.83406728,35.34375
125.5483772,50.30679339,41.65625
122.9322225,51.7302339,49.84375
136.8087667,53.21451204,52.25
134.721112,41.54344425,51.34375
138.9700735,51.54727387,47.3125
136.3129493,49.81374866,42.40625
122.3355391,34.4026402,38.09375
127.3665732,30.29235227,34.5625
149.5057941,34.33247749,31.9375
132.6761784,34.14068376,31.5625
126.7602274,37.33232467,38.375
112.4773321,43.63872609,49.6875
132.0485224,56.58021066,51.84375
126.1733372,62.33944518,52.5625
167.7635903,56.86920162,56.625
162.5463777,50.75461827,59.15625
155.1707112,48.0053639,55.4375
142.1844221,45.30030458,49.84375
133.3682944,34.94240105,44.6875
135.0593527,46.7875177,42.34375
142.4369964,58.40082891,48.6875
119.5032751,48.23554248,60.34375
142.8773948,60.11825381,64.34375
169.0674141,84.29466586,77.28125
172.2540821,96.59255877,110.0625
190.752385,116.6203113,128.0625
208.5750677,132.550078,126.625
229.5324227,141.5249468,125.15625
218.9361553,139.8652297,127.625
203.3120783,122.8539493,127.78125
181.3812736,112.847572,118.15625
179.7958404,103.1571007,106.9375
