xaj,tcn-gru,runoff
1150.389462,1206.7677,1143.5938
964.7670592,1142.5989,1057.125
895.4422583,1057.287,965.375
974.5674603,966.8107,910.25
1009.19744,911.9827,898.09375
947.1573584,899.9063,882.28125
1101.166303,884.89166,863.59375
1104.403746,866.6165,853.1875
1064.438016,856.01434,868.96875
844.2830201,870.52606,896.53125
867.0751883,897.2197,869.875
910.5715828,871.4665,825.875
869.7737532,828.2669,798.96875
876.6467603,801.7238,783.53125
783.1197221,786.5363,755.1875
850.7824018,758.2519,716.5
747.5951147,719.4884,705.71875
642.7595484,708.04193,715.3125
800.4110797,717.45575,688.6875
704.2008952,691.51764,649.09375
554.2687486,651.77856,615.375
628.9453101,618.33246,577.625
610.4486497,581.48627,543.8125
600.3845077,548.3792,525.90625
593.8261843,530.5023,523.5625
588.4282976,528.00616,525.71875
659.1343496,530.03674,524.9375
733.17967,528.5578,540.28125
602.3886503,543.34076,582.6875
567.4918666,585.07526,583.875
472.6406164,587.229,550.125
645.1863918,554.5959,519.03125
686.9834989,523.65607,505.09375
711.9305658,509.686,515.59375
635.095919,520.23126,529.34375
527.5085252,533.9384,520.0625
627.9840775,524.99677,501
651.6673953,506.32727,484.9375
695.460852,490.78455,473.09375
765.7020605,479.4768,470.5
730.1120279,476.97733,495.75
769.422806,501.5881,556.5625
687.59086,561.37714,653.71875
684.9879726,657.37994,674.21875
712.5165383,677.476,640.75
671.9884219,644.0269,595.53125
635.5774958,599.06586,550.28125
490.6803226,554.0927,511.28125
667.0321082,516.42114,480.375
815.7539098,486.2324,464.53125
584.2100221,470.44077,468.875
593.9665321,474.226,468.46875
504.6437225,473.5883,457.6875
485.1664251,462.94455,452.90625
670.927373,458.9786,456.40625
554.9986255,461.98428,460.53125
634.4491628,466.06198,453.59375
588.4181179,459.36148,446.46875
420.6523865,451.71817,452.84375
546.5780546,458.04556,448.03125
589.5194032,453.4224,426.9375
515.9585195,432.49136,409.34375
570.2995922,415.35287,414.25
680.2777913,420.70694,465.46875
798.3283258,471.71262,522.0625
582.3005438,527.6075,559.6875
514.1462477,564.51764,601.9375
533.5383518,606.3586,612.34375
769.4238656,617.1195,591.1719
856.1725174,596.59827,584.8906
811.7629861,590.2007,605.1406
664.6339266,609.5422,663.5
613.8637546,666.8189,710.2031
743.5983081,713.3074,728.59375
733.5972286,732.09467,736.875
736.371522,740.32574,727.9531
670.7266919,731.6441,717.125
585.1145097,720.90265,718.7031
897.1795109,722.809,738.5156
773.0452796,742.1837,807.875
819.274356,810.8262,911.8906
1162.66854,914.37427,962.4844
961.2735968,963.94904,1015.1406
936.4376023,1015.8292,978.8906
861.1515841,980.2049,936.03125
921.9904206,938.05096,892.5625
803.2413882,893.78064,826.0156
678.27587,827.8178,755.875
429.5370541,758.1739,685.8281
666.8512427,689.5671,626.375
756.6997115,630.96747,626.5469
833.7885235,631.53595,701.375
776.1902166,705.63556,736.4531
952.248251,740.6503,720.4531
828.8765517,724.3999,687.9219
517.105009,691.2967,662.34375
743.9019141,666.3776,645.8281
813.839205,650.03253,644.96875
807.6983234,649.49054,656.4219
676.8156474,660.9379,661.4531
672.6416786,665.55194,640.21875
859.9304127,644.446,631.15625
791.8820958,636.03265,688.34375
916.7644827,692.8485,847.7031
832.2571258,850.93085,1092.5
1129.516907,1094.0465,1221.8281
1283.373487,1221.9972,1241.0156
1722.776659,1241.6659,1217.0938
1225.339285,1217.4894,1249.75
1118.456152,1249.223,1308.3281
1384.343756,1307.6031,1278
1321.110011,1277.5302,1381.4062
1305.066891,1379.7887,1544.4688
1626.412682,1541.6284,1548.6562
1563.982577,1546.4701,1479.8594
1436.793629,1477.8435,1390.7344
1470.560957,1389.3644,1287.2969
1397.490284,1286.8268,1175.125
1299.336874,1175.2664,1103.8125
1233.84265,1104.7688,1283.8594
1592.905492,1283.9518,1725.6719
1581.882443,1721.8666,2085.9375
2003.296981,2078.724,2111.6562
1775.098554,2104.416,1984.2969
1941.020884,1977.9321,1808.6719
1698.435531,1803.943,1638.875
1498.338639,1634.8827,1495.0469
1511.103867,1492.718,1362.6875
1435.69376,1361.7303,1279.1562
1419.1358,1278.836,1225.7344
1280.340626,1226.0051,1190.1406
1396.527145,1190.5554,1240.0938
1413.580201,1239.9861,1317.4844
1361.119014,1316.7612,1289
1328.617243,1288.4259,1204.2656
1155.952475,1203.7653,1161.8594
1031.580076,1160.9755,1124.75
1063.526287,1124.7045,1040.8281
1103.699037,1042.1498,963.25
916.1921668,965.3394,899.9922
1120.586696,902.66504,897.4297
869.5732167,899.94147,944.0781
1133.286165,946.3196,944.6719
1021.06062,946.36664,969.59375
1034.928871,970.663,1005.5156
810.616587,1006.05206,975.6797
822.0017462,976.5007,908.1094
750.3782872,910.0123,839.75
782.4033092,842.5212,789.5625
810.3212879,793.29175,799.78125
1068.845246,803.331,880.8203
994.2660727,883.1596,1021.5625
1140.413749,1022.5376,1053.8203
1067.084521,1054.4318,1003.4297
938.3501634,1004.2002,938.8047
999.4926069,939.9383,875.77344
915.1392905,877.1517,847.34375
800.1148925,848.5109,838.91406
780.2619907,840.1412,798.9453
769.6346359,800.5749,745.0469
731.9656769,747.23505,691.5625
694.9337691,693.849,642.4219
610.1027105,644.3388,606.90625
670.7750711,608.8573,580.72656
625.1122594,583.2091,559.2344
594.987408,562.13055,536.7031
585.1041225,539.8553,517.85156
528.1629779,520.9156,513.3125
603.4531143,516.21027,528.3906
642.1569183,531.2958,548.28125
624.0709463,551.2646,536.5625
614.5308265,539.84265,508.35156
570.4043447,511.91132,483.1875
585.0351007,486.763,467.89062
594.365517,471.6866,455.08594
582.4550485,458.91293,444.34375
578.7275434,448.18793,431.20312
546.2053402,435.35025,432.9297
603.0405959,436.8829,460.64844
646.5509743,464.49408,470.21875
654.8579219,474.27783,459.1797
615.1641546,463.48846,444.41406
578.8156587,448.9369,424.1172
573.8065607,428.35992,405.03906
534.6751332,407.81076,424.57812
520.0880135,425.9892,491.64062
552.3687164,492.9498,502.85938
523.5318925,504.54395,470.25
543.7457185,472.642,432.0625
501.2856378,434.65237,400.07812
529.6901379,402.77094,371.23438
534.2286824,374.67035,343.4922
495.9688396,347.41263,321.1328
430.6714492,325.1505,302.67188
473.9293519,306.62216,285.3828
524.2908653,289.52023,267.75
457.9589531,272.5593,249.625
431.6038319,254.73654,234.71875
431.5806793,239.28433,227.26562
453.3781792,231.06358,234.63281
463.0679235,238.35793,252.34375
480.3456041,256.1544,256.875
448.4206758,261.07733,246.0625
465.4813463,250.67027,234.26562
540.9901734,238.91682,230.65625
510.1875059,235.47694,229.89062
486.9463406,234.32976,228.125
441.4150076,231.84923,228.74219
441.7085759,232.39409,229.53906
428.3804701,233.4915,223.75781
402.2750294,228.02011,211.99219
418.8015173,216.48268,198.76562
419.2227408,203.46938,187.39844
427.2458093,192.42249,179.85156
444.3214738,185.08015,176.55469
443.4724627,181.5251,177.94531
411.1918855,182.65773,182
427.988617,186.86256,182.6875
432.3901408,187.41261,181.96094
450.7849532,186.23845,184.26562
446.5983242,188.61058,187.04688
438.978612,191.84543,187.04688
441.8956193,192.11116,183.89062
409.4336912,188.60243,182.03125
394.8121533,185.84258,182.59375
390.7995097,186.02577,182.45312
400.2266195,186.09854,179.21875
421.8276225,183.12433,172.29688
399.4816408,176.46681,164.26562
431.0918037,169.05885,156.10938
471.8656822,161.36502,149.15625
415.2925832,154.29033,143.79688
425.5218434,148.56651,141.20312
504.9021535,145.14763,154.32812
487.8801452,157.36168,183.78125
456.3140207,186.86507,200.625
425.4194881,203.63614,197.20312
417.0476096,200.21762,186.15625
432.5314751,189.47865,176.9375
450.4035165,180.54721,169.89062
454.8342669,173.98752,162.07812
431.6606671,166.6799,156.125
436.1058418,160.83836,154.07812
396.046853,158.65863,153.9375
377.6954123,158.64226,152.03125
417.9267778,156.7986,150.26562
460.3302037,155.00044,149.92188
444.9953318,154.78574,149.48438
451.3962475,154.35016,149.65625
434.679803,154.25963,151.35938
432.9204691,156.02623,151.76562
442.63369,156.23428,152.35938
441.0755761,156.81749,152.98438
441.0730951,157.50517,150.78125
419.9089607,155.22597,147.23438
445.3630207,151.6418,143.0625
430.3794551,147.72473,137.73438
385.6327446,142.66388,132.15625
478.5088013,137.81108,127.4375
508.1300134,133.37839,124.96875
538.1139986,130.90591,127.09375
493.8104824,132.9203,135.21875
503.222669,140.67836,150.65625
515.7066237,155.89546,169.71875
524.5097692,174.74625,185.21875
511.2883839,189.80957,197.78125
521.3298743,201.67043,215.125
503.7360297,218.67772,229.625
500.3076409,233.22453,228.78125
478.3055821,232.46532,219.75
514.4038672,223.50133,214.5
554.9154616,218.13922,221.8125
503.4634058,225.35992,229.46875
471.5373147,233.0191,225.09375
510.0500982,228.71127,216.46875
514.6706515,220.38304,213.53125
508.0891939,217.30177,216.1875
490.0681594,219.49489,218.75
490.4861585,222.04955,216.25
477.566404,219.90965,206.9375
466.7986846,210.92421,197.6875
482.4613241,201.8224,189.5
465.4380625,193.83727,182.5625
431.5716309,187.1718,177.75
449.3983012,182.82358,180.03125
470.7803817,185.5345,192.15625
551.0014357,197.58614,216.375
513.6591777,220.81169,250.21875
510.122739,253.4185,282.9375
554.5044711,285.4064,302
567.5252123,304.5908,303.46875
580.6987664,305.9161,295.4375
551.2810097,297.86874,280.46875
518.3678878,283.26736,262.5
526.9157858,265.7847,247.9375
483.1090345,251.55518,237.53125
482.61472,241.44641,229.3125
433.9810572,233.75117,221.90625
448.1012436,226.24112,220.9375
462.1959587,224.99278,224.28125
425.411642,229.04472,224.6875
392.2453432,229.72108,224.78125
379.1616426,230.01698,230.375
416.1126051,235.43219,243.34375
359.7296332,248.05934,259.78125
357.1951391,264.34152,274.5
307.1680054,279.57404,293.3125
365.9499525,298.6538,324.1875
388.8936739,329.48544,365.03125
432.0509365,370.62512,412.65625
378.5243515,417.79886,464.71875
468.4170021,469.1357,511.4375
410.4011029,515.3231,548.59375
527.403709,552.8031,563.09375
490.5907601,567.0567,585.5
470.0079926,588.7987,634.875
608.8406608,638.5257,641.0625
734.4587635,644.666,645.59375
658.515737,648.3841,681.4375
624.871135,683.323,688.96875
694.6287976,690.59937,665.03125
758.9921068,667.44635,629.15625
675.9304333,632.27014,593.78125
633.8512719,596.4849,581.84375
656.5771935,583.8871,599.78125
657.7790805,601.828,596.84375
617.4715616,599.6673,559.625
640.4800553,562.69556,521.65625
548.8250528,524.29443,513.0625
711.6045316,514.7914,538.625
688.4809631,540.32587,554.28125
681.0713143,556.3065,537.9375
677.6700264,540.60675,521.15625
592.8270949,523.74384,527.0625
617.452382,529.39935,523.71875
583.7396593,526.3229,497.8125
535.9902444,500.97952,462.8125
539.3973382,466.8975,434.0625
379.0086156,438.26367,418.84375
474.5724918,423.95584,409.40625
496.1858369,414.62656,430.84375
621.8536511,435.42642,496.6875
734.1073004,501.28592,538.96875
713.8010483,542.5937,600.75
655.827483,602.8598,700.09375
688.1838043,701.3009,732
696.5875483,732.87476,700.96875
725.7948776,701.80255,661.1875
677.7315174,662.5981,615.4375
531.4552826,617.94403,568.34375
551.5380339,571.99615,528.875
542.3742857,533.1796,501.84375
673.9074752,506.4296,484.78125
575.3620788,489.2662,479.3125
576.1455721,483.3858,500.59375
510.9988711,504.60385,531.875
638.3880832,535.61383,560.03125
541.6228979,562.9504,599.375
710.2158131,601.9743,624.6875
729.506246,626.08527,675.65625
785.6404741,676.17456,696.59375
730.9649379,697.3204,659.59375
652.4529446,661.3375,606.59375
601.0546148,609.0704,555.3125
532.8403387,558.4632,510.28125
430.4287573,514.0717,473.0625
404.9129818,477.516,554.3125
723.446447,558.59503,790.625
726.2842356,792.64154,1023
997.3380876,1023.52014,1052.625
1043.329602,1053.2753,1072.4062
1205.616709,1073.1393,1070.6875
1063.996406,1070.7933,1203.4688
986.0137713,1201.6796,1348.3125
1049.575332,1345.0543,1317.1875
1147.307744,1314.6981,1217.4375
1084.48434,1216.374,1146.0312
996.6090415,1145.4967,1096.6875
966.6381041,1096.4333,1040.4688
1059.899559,1040.8214,988.75
1029.032465,989.8017,953.78125
883.0316087,954.6971,907.15625
994.750737,908.8166,847.96875
922.4068229,850.55273,797.75
1037.649409,800.73303,763.28125
954.9264495,766.89197,743.21875
803.3405277,746.4985,726.125
825.2947163,729.1579,702.25
778.0721743,705.82947,675.1875
691.1426294,678.6267,665.6875
903.174663,669.81805,658.875
791.4584079,663.1897,662.8125
727.470131,666.48456,643.4375
894.2895494,647.5179,643.40625
713.2180067,647.51447,675.0625
529.8238677,678.4735,664.375
677.3350095,667.6835,619.90625
631.6053953,623.60925,575.5
753.0009461,580.2065,564
770.9223868,569.0994,595.21875
719.1865771,600.02423,623.59375
713.2005688,627.8125,663.28125
692.8703794,666.80524,675.9375
696.1874814,678.8852,683.4375
599.6568685,686.1635,658.8125
774.2436324,662.20013,613.6875
756.447125,617.74695,580.28125
767.1099718,585.03107,562.0625
683.2159945,567.31915,555.9375
628.6703393,560.8744,544.34375
698.6040925,549.71655,541.1875
639.0192329,546.4527,566.78125
928.6482375,572.34015,707.96875
840.1499031,712.12115,955.6875
843.0962133,957.48065,1004.6875
1423.769626,1007.19885,956.71875
1101.513831,959.21436,969.46875
869.2155967,970.86456,1011.96875
921.3282138,1012.7236,982.5
905.4838274,983.91077,944.84375
909.9016138,946.8747,889.34375
957.4540607,891.4173,829.6875
947.5245776,831.98425,782.71875
725.9265485,785.4224,738.4375
