Pre,Pre,runoff
253.01538,152.4111633,253.03906
244.68286,143.1999745,246.82031
238.72693,129.5318843,239.20312
231.4957,144.4555487,230.72656
223.4143,148.0067627,224.83594
217.78143,151.4670458,219.39062
212.54446,141.9351599,215.20312
208.50314,122.4650606,221.42188
214.39737,112.028061,231.64844
224.1716,110.0226178,231.91406
224.43375,107.6212953,225.77344
218.58188,107.4104372,219.41406
212.4731,99.11020677,211.84375
205.24307,83.80163,201.00781
194.88272,91.12761943,188.90625
183.344,92.24235855,178.02344
172.95921,111.2161801,170.125
165.44048,113.9129267,165.41406
160.95015,113.4218898,163.63281
159.21906,113.7682637,165.83594
161.29065,107.0526077,166.63281
162.05533,105.9106823,163.40625
158.93082,98.69109604,162.59375
158.08778,71.42238818,164.60156
159.9702,65.21591995,165.3125
160.68211,72.37212341,162.58594
158.10062,77.33937195,156.74219
152.5138,83.63865102,152.14844
148.12814,85.02351949,147.77344
143.96216,80.54826861,143.27344
139.66034,82.754889,140.28125
136.711,62.68592362,141.0625
137.39522,40.55779137,142.92188
139.19113,44.03505433,140.64062
136.99933,44.25064941,136.57812
133.09032,23.44116724,131.95312
128.6517,25.54905383,126.5
123.48016,34.20895192,121.515625
118.70293,57.25041095,119.046875
116.41322,47.53750363,120.28125
117.714905,72.79795272,126.046875
123.16658,68.36500322,136.92188
133.52135,56.96548838,148.53125
144.66737,71.48200142,152.26562
148.33693,95.88774618,148.92188
145.20467,114.1300663,142.5
139.04361,118.5228878,136
132.81648,114.4628863,131.45312
128.48712,119.9932197,131.70312
128.68983,114.4991947,140.9375
137.50621,103.7895921,154.53125
150.5597,115.1833258,165.25
160.82968,125.4121327,170.59375
165.96405,130.3500167,170.9375
166.31604,138.3793022,175.9375
171.07718,138.2089758,184.32812
179.11966,130.4954903,187.25
181.94885,137.3179197,182.96875
177.84521,146.3700042,177.15625
172.29509,142.1380984,174.9375
170.15767,147.3952517,180.98438
175.9371,149.8246895,188.82812
183.46375,149.892389,191.90625
186.40309,157.4670094,193.5625
187.95361,160.2633537,193.6875
188.1066,160.8609406,193.78125
188.26688,168.1920006,198.10938
192.44081,186.1309738,207.98438
201.86649,183.292263,223.23438
216.4672,193.3102086,247.09375
239.27457,201.8778212,278.03125
268.82025,207.0678755,322
310.90448,228.886159,349.34375
337.09088,248.6446069,352.5
340.11676,245.432044,345.53125
333.44095,252.3757882,333.59375
322.00116,255.0698126,320.21875
309.28973,253.1656585,308.84375
298.48206,280.690333,304.5625
294.4089,285.6826328,309.15625
298.73505,282.3226881,335.9375
324.21228,250.9949095,395.59375
381.14642,248.6467285,432.28125
416.16006,244.5369048,434.46875
418.2704,231.6657303,422.0625
406.44275,238.4472678,405.1875
390.37305,244.9147199,382.03125
368.27203,247.8871752,359.375
346.64886,254.5570387,339.1875
327.3993,257.7961156,333.40625
321.8427,254.7355916,352.53125
340.1322,254.3727882,373.28125
360.00812,266.5120041,374.8125
361.49097,272.5448901,367.84375
354.8518,276.6421307,365
352.1323,285.0076922,362.53125
349.78937,289.6668918,361.3125
348.66565,297.649394,363.1875
350.43262,318.4039667,376.21875
362.97064,326.418147,404.65625
390.26337,372.6784703,430.6875
415.13953,380.0136936,465.34375
448.16382,360.6707971,526.65625
506.6246,327.0683883,579.25
556.8058,297.6593218,609.9375
586.151,298.4989243,602.90625
579.47314,322.7350299,564.6875
542.9978,334.3129541,518.78125
499.156,338.7362761,483.75
465.6609,329.5650586,460.78125
443.68506,316.8978034,443.6875
427.32666,331.2648397,424.25
408.8365,342.0766454,399.71875
385.47852,368.5297896,380.96875
367.56335,361.9523048,400.03125
385.6674,334.8562585,491.4375
473.003,336.1329358,578.9375
