Pre,Pre,runoff
273.82047,152.7589216,253.03906
264.81766,135.9360336,246.82031
258.31152,134.1034621,239.20312
250.50877,140.5348927,230.72656
241.75014,148.3952329,224.83594
235.65594,150.965107,219.39062
229.97299,139.9808799,215.20312
225.58957,125.9372429,221.42188
231.99146,108.1371582,231.64844
242.56538,110.4428127,231.91406
242.84354,109.3369021,225.77344
236.51517,109.7227902,219.41406
229.90509,92.47714196,211.84375
222.05524,75.60342257,201.00781
210.836,80.08358729,188.90625
198.30795,99.80090965,178.02344
187.09457,103.2905356,170.125
178.93092,110.6043822,165.41406
174.06778,116.4454517,163.63281
172.20251,107.9921116,165.83594
174.43735,97.40554349,166.63281
175.26306,107.9246256,163.40625
171.89996,96.91409792,162.59375
170.98907,72.19094855,164.60156
173.0221,57.36538076,165.3125
173.79068,60.68825646,162.58594
170.97742,80.65471677,156.74219
164.9238,72.54047492,152.14844
160.03014,79.13667927,147.77344
155.39688,79.25158236,143.27344
150.63977,79.77705117,140.28125
147.39804,64.13454856,141.0625
148.16577,29.97053437,142.92188
150.1319,38.24464443,140.64062
147.71701,35.51135597,136.57812
143.4098,13.68545314,131.95312
138.50244,10.6238749,126.5
132.7657,19.256485,121.515625
127.564316,31.40725668,119.046875
124.960144,37.70621717,120.28125
126.413284,71.46878776,126.046875
132.47275,62.31049368,136.92188
143.85548,45.15260732,148.53125
156.14365,74.71702515,152.26562
160.23097,83.0159913,148.92188
156.77103,108.6057076,142.5
149.96155,105.3112141,136
143.03008,113.0496123,131.45312
138.27324,114.5493672,131.70312
138.52873,113.9076226,140.9375
148.24619,95.43848857,154.53125
162.69653,116.4224204,165.25
173.96985,115.9943726,170.59375
179.50343,138.123469,170.9375
179.89828,139.4228774,175.9375
185.07329,126.9128717,184.32812
193.77228,120.4260078,187.25
196.83176,138.7996572,182.96875
192.39923,141.4251148,177.15625
186.36755,145.1085788,174.9375
184.0834,142.5536363,180.98438
190.33322,143.092604,188.82812
198.49228,147.7086032,191.90625
201.68399,154.6761326,193.5625
203.36545,150.5653014,193.6875
203.50919,154.6667452,193.78125
203.66092,172.4975639,198.10938
208.23041,173.9248922,207.98438
218.40756,191.6231974,223.23438
234.23642,182.2677293,247.09375
258.94443,213.2522932,278.03125
290.9865,203.8201118,322
336.55795,232.9852678,349.34375
364.93835,253.0588017,352.5
368.2168,250.400752,345.53125
360.98117,251.2019779,333.59375
348.59717,243.874961,320.21875
334.77917,253.8810841,308.84375
323.12775,271.7206196,304.5625
318.68457,293.1302105,309.15625
323.37787,295.3995165,335.9375
350.9892,253.8362357,395.59375
412.6435,260.8987526,432.28125
450.57916,245.6044587,434.46875
452.8652,236.0412016,422.0625
440.07355,238.8889461,405.1875
422.64276,249.2066059,382.03125
398.69385,256.3222043,359.375
375.28754,249.9458367,339.1875
354.4192,269.0721107,333.40625
348.4153,259.7011638,352.53125
368.21442,257.8755377,373.28125
389.73676,276.4981115,374.8125
391.35663,279.1225083,367.84375
384.17163,276.3707721,365
381.2439,279.880407,362.53125
378.70178,282.8282964,361.3125
377.4594,308.9380123,363.1875
379.4306,310.6929832,376.21875
392.94513,323.6974884,404.65625
422.54315,379.3682294,430.6875
449.50623,384.28044,465.34375
485.27264,378.9471805,526.65625
548.6019,346.1495337,579.25
602.9541,307.8682699,609.9375
634.73737,303.9379998,602.90625
627.52466,323.3427313,564.6875
587.97504,342.1734411,518.78125
540.5004,347.8249224,483.75
504.2113,336.3189745,460.78125
480.436,313.5358439,443.6875
462.70633,323.1292312,424.25
442.65317,342.6152529,399.71875
417.36673,361.6320013,380.96875
397.9444,380.0595962,400.03125
417.57333,346.8089021,491.4375
512.17523,343.7550766,578.9375
602.86255,370.6152053,596.40625
620.94684,391.1790022,577.28125
601.14575,376.9965101,546.125
568.87915,376.9312858,514.71875
536.4391,366.7685738,490.25
511.0988,375.6769993,489.59375
510.39642,377.061681,493.59375
514.5012,363.0587958,506.03125
527.3562,352.6688396,525.90625
547.9966,363.9688401,531.03125
553.3676,391.4071804,526.09375
548.2103,396.2529391,547.8125
570.6599,379.7186098,595.125
619.73987,396.6830884,604.46875
629.4293,431.5240381,598.9375
623.7377,429.1332905,588.375
612.743,424.1892951,578.46875
602.51196,412.7496123,565.9375
589.56396,428.9794904,546.78125
569.7202,422.0016396,517.5625
539.4792,417.8154895,491.25
512.24963,422.4274388,483.625
504.29834,394.7679657,512.09375
533.74646,384.2463066,585
609.29553,422.693967,652.0625
678.76636,464.9028856,714.15625
743.0731,487.484819,750.5625
780.8799,529.1264677,717.625
746.9504,549.7229835,665.0625
692.6566,560.1906805,639.875
666.50745,527.2424894,705.15625
733.8989,532.4072172,959.625
997.48303,603.8314909,1207.8125
1254.6788,730.295506,1207.9375
1254.8326,740.2882186,1143.5938
1188.1129,718.0193564,1057.125
1098.6003,694.7032761,965.375
1003.6348,701.0577867,910.25
946.539,652.8398542,898.09375
933.8902,643.7818451,882.28125
917.53,646.4496891,863.59375
898.1719,645.502656,853.1875
887.35535,625.9493017,868.96875
903.60986,589.5023775,896.53125
932.12976,596.5371528,869.875
904.56006,593.9097671,825.875
858.9852,580.4917121,798.96875
831.12537,570.9669384,783.53125
815.1161,566.565687,755.1875
785.7289,549.7595454,716.5
745.6078,515.5715325,705.71875
734.4119,489.5261736,715.3125
744.3269,513.6234507,688.6875
716.73535,489.3595368,649.09375
675.67303,459.9125607,615.375
640.81793,472.7229409,577.625
601.7682,476.1784402,543.8125
566.79584,462.4543595,525.90625
548.2816,468.9761207,523.5625
545.83984,482.581442,525.71875
548.0469,459.752916,524.9375
547.084,443.9202281,540.28125
562.84143,383.771002,582.6875
606.7295,416.7372339,583.875
608.12964,454.6953919,550.125
573.3302,475.9174097,519.03125
