AT,Tmax,Tmin,DPT,GF,SLP,SP,Evap,K,CUPE,runoff
4.45,5.62,2.33,3.04,4.53,1020.18,1017.82,-1.2087,11.07,10.68,368.1875
0.8,2.24,-0.21,-2.9,0,1028.82,1026.41,-0.9182,-4.42,0.09,363.3125
2.83,6.16,0.49,-2.36,3.17,1029.6,1027.2,-1.8118,-16.24,0,343.125
1.49,4.14,-0.82,-1.56,2.3,1032.69,1030.27,-1.5157,-3.71,3.8,315.78125
-1.07,1.57,-4.12,-7.88,-1.01,1034.84,1032.4,-1.8861,-27.39,0.91,300.03125
3.82,8.16,-1.48,-6.13,3.33,1026.77,1024.39,-2.359,-22.43,0,288.03125
10.47,15.21,3.3,-0.61,8.85,1017.73,1015.43,-2.7206,-14.8,0,269.9375
13.65,22.24,6.65,4.13,11.98,1017.95,1015.66,-2.9035,4.23,0,248.15625
11.05,16.43,7.59,6.2,11.48,1018.85,1016.54,-2.3831,15.97,3.75,226
10.3,13.81,6.68,8.73,12.04,1013.81,1011.52,-1.3896,30.67,12.25,205.8125
9.27,13.16,4.53,2.99,8.67,1025.07,1022.74,-2.344,-10.42,0.22,189.3125
10.38,15.26,6.39,0.75,10,1023.76,1021.45,-3.16,-26.01,0,178.65625
11.8,20.03,4.62,4.19,11.16,1022.02,1019.71,-3.2108,0.73,0,170.125
8.99,12.31,5.23,4.21,9.79,1018.28,1015.97,-2.2064,12.07,0.08,159.15625
21.26,27.46,9.47,11.44,18.97,1004.15,1001.94,-3.427,-4.75,267.88,145.34375
13.48,18.45,7.75,-0.07,11.07,1016.32,1014.05,-3.773,-17.88,4.35,130.9375
12.56,16.65,8.19,0.87,12.72,1014.27,1011.99,-3.5809,1.96,35.83,117.3125
11.41,16.6,8.17,7.06,12.51,1013.31,1011.02,-2.8058,26.11,10.2,105.78125
6.85,8.41,5.91,4.99,6.56,1019.27,1016.92,-1.7275,10.93,4.91,100.21875
6.55,8.21,4.58,2.67,6.09,1021.92,1019.58,-1.5702,1.15,0.23,107
7.33,13.48,2.04,1.64,7.34,1027.17,1024.82,-3.2247,-18.96,5.17,131.71875
9.26,13.34,5.06,-1.19,9.25,1025.25,1022.92,-3.2183,-15.29,0,158.84375
9.5,14.76,5.66,4.42,7.98,1023.93,1021.62,-1.269,13.56,3.64,169.03125
12.72,18.46,8.19,6.03,12.35,1025.87,1023.56,-3.0312,-12.38,4.69,163.46875
12.09,14.69,9.51,4.01,12.08,1023.33,1021.03,-3.01,-14.83,0,150.375
11.79,12.77,10.73,8.95,11.71,1018.15,1015.85,-1.1439,24.23,2.94,136.5
15.3,18.15,12.37,12.35,15.72,1013.05,1010.79,-2.3147,23.6,8.12,127.75
8.68,12.26,4.75,6.31,7.9,1020.41,1018.09,-1.3422,-7.94,3.3,137.0625
10.75,14.87,6.24,3.29,9.98,1023.68,1021.38,-2.8424,-25.91,0,172.53125
12.2,17,8.03,1.18,11.29,1020.16,1017.87,-4.0102,-14.04,0,208.625
13.64,18.03,8.84,7.79,13.45,1014.14,1011.88,-2.6001,2.15,0.06,219.9375
16.92,22.83,11.75,11.47,16.07,1013.24,1011,-3.3146,-5.5,0,211.53125
