AT,Tmax,Tmin,DPT,GF,SLP,SP,Evap,K,CUPE,runoff
25.89,28.41,23.06,21.47,25.89,1011.33,1009.12,-3.7889,34.37,19.7,249.57812
26.78,29.62,25.07,23.27,26.36,1010.03,1007.83,-3.0459,36.43,680.61,236.4375
27.47,31.21,24.11,22.53,26.78,1006.73,1004.54,-4.1929,22.17,247.28,219.40625
26.98,30.34,25.09,22.84,26.47,1002.67,1000.48,-4.4328,33.44,674.96,201.375
26.4,29.47,23.82,22.7,25.75,1004.29,1002.1,-3.431,33.73,985.05,184.4375
27.88,31.9,24.39,23.47,27.46,1007.16,1004.98,-4.104,32.18,942.36,170.10938
28.32,32.26,24.72,23.06,27.66,1009.23,1007.03,-4.4088,26.54,602.75,158
27.89,32.44,23.92,21.47,27.31,1010.55,1008.35,-4.9068,22.05,111.62,146.20312
27.14,31.02,23.88,20.72,26.78,1009.76,1007.57,-4.2392,20.19,2.32,134.07812
26.34,31.15,23.46,22.9,27.21,1007.56,1005.37,-3.2411,37,588.82,124.984375
22.66,23.62,21.45,20.34,21.97,1010.71,1008.5,-1.3352,14.46,47.52,125.96875
21.62,24.98,18,17.17,20.78,1016.71,1014.48,-3.7946,-14.16,0,142.29688
23.8,28.12,20.21,17.41,22.76,1018.26,1016.04,-4.891,3.57,0.21,160.71875
25.6,28.3,22.74,21.27,24.93,1015.34,1013.13,-2.8947,23.4,374.53,167.60938
24.65,28.79,21.36,21.39,24.78,1012.91,1010.69,-2.9545,29.58,815.3,164.8125
22.08,25.46,19.48,19.69,21.67,1012.33,1010.11,-3.0092,36.83,157.66,180.04688
20.74,22.27,19.57,19.14,20.06,1013.7,1011.48,-1.5063,29.34,29.22,260.42188
22.79,26.7,19.46,18.28,22.73,1013.56,1011.34,-3.8483,5.07,1.28,348.54688
24.63,28.12,21.98,20.26,24.34,1009.53,1007.33,-2.8995,31.81,47.99,354.4375
22.46,25.86,19.18,19.54,22.67,1010.5,1008.29,-3.164,32.01,13.21,311.76562
19.15,21.09,17.58,15.55,18.7,1015.36,1013.13,-1.6974,0.83,6.15,281.17188
19.53,25.14,14.23,13.53,18.7,1017.43,1015.2,-4.372,-2.19,1.69,258.92188
21.03,26.13,16.73,13.8,19.87,1018.11,1015.87,-4.6008,-12.79,4.3,236.73438
21.3,26.35,17.51,13.64,19.87,1015.18,1012.95,-4.3815,-23.14,0.51,213.3125
19.95,25.03,15.52,11.44,18.69,1011.76,1009.54,-4.4729,1.23,0,190.6875
21.01,27.05,16.15,12.82,19.74,1010.85,1008.64,-3.9893,14.25,1.66,170.20312
22.65,28.51,18.42,13.09,21.49,1012.25,1010.03,-3.9962,26.96,10.12,151.95312
23.52,28.18,20.19,17.74,22.92,1013.23,1011.02,-3.1033,21.83,70.07,135.85938
22.35,24.82,20.66,19.88,22.11,1011.35,1009.13,-0.8943,25.18,327.63,122.36719
20.93,24.6,17.48,17.23,20.72,1011.37,1009.15,-2.5521,18.8,2.48,110.703125
22.35,26.96,18.53,17.03,21.83,1012.32,1010.1,-3.2722,16.68,0,100.09375
23.04,28.26,18.2,16.06,22.48,1014.6,1012.38,-3.4938,14.94,0,90.375
22.87,27.5,18.74,16.71,22.47,1016.75,1014.53,-3.1641,-8.57,0.95,81.5
23.94,27.81,21.01,18.17,23.34,1017.31,1015.09,-2.667,2.9,40.72,73.6875
23.05,27.49,18.6,18.33,22.48,1015.67,1013.45,-2.3131,16.49,33.23,67.234375
19.46,24.86,13.77,10.14,18.73,1017.6,1015.36,-3.7351,-25.16,0.9,61.953125
17.99,24.2,12.38,6.25,16.89,1017.78,1015.54,-3.5735,-18.71,0,57.796875
18.04,24.67,11.75,7.45,16.52,1017.9,1015.66,-3.0167,-18.13,0,54.773438
19.33,25.29,13.6,8.58,17.61,1018.09,1015.86,-2.6757,-14.14,0,52.703125
19.95,26.24,15.77,10.08,19.5,1016.09,1013.86,-2.7771,-13.62,0,51.148438
19.68,26,14.74,11.64,18.51,1013.2,1010.97,-2.0945,0.78,0,50.0625
20.76,26.4,17.39,12.68,21.29,1015.32,1013.1,-2.3813,2.25,0,49.171875
19.5,22.86,16.01,15,18.76,1019.04,1016.8,-0.8038,5.98,12.22,48.75
20.58,25.71,16.15,13.14,20.43,1022.24,1019.99,-2.378,5.08,0.03,48.289062
20.91,25.71,16.44,11.45,20.7,1021.5,1019.26,-2.4517,-17.37,0,47.507812
19.96,24.66,16.2,11.19,19.75,1018.65,1016.4,-2.2241,-27.79,0.02,46.695312
19.81,25.41,15.6,13.02,19.85,1016.52,1014.29,-1.7815,2.85,1.63,45.96875
18.85,25.74,12.43,8.7,18.68,1019.22,1016.97,-2.3246,-11.72,0,45.1875
19.26,23.99,16.02,8.6,19.46,1018.95,1016.7,-2.0467,-11.55,0,44.382812
20.35,24.55,17.63,9.79,21.11,1016.81,1014.57,-1.8199,-3.43,0,43.585938
20.33,22.92,18.31,13.86,20.06,1016.16,1013.92,-0.8702,3.43,0.38,43.101562
20.74,24.86,17.82,12.9,21.32,1018.46,1016.23,-1.2368,9.11,2.01,42.703125
21.88,27,18.72,11.86,22.1,1018.32,1016.08,-1.9112,12.51,0.06,42.023438
17.33,19.51,14.37,13.99,16.75,1018.42,1016.16,-1.6943,17.34,5.6,42.210938
14.04,19.75,9.71,4.68,13.36,1022.16,1019.89,-2.6531,-37.59,0,42.960938
15.44,20.9,11.78,5.24,15.38,1020.27,1018,-2.3401,-24.47,0,43.742188
18.54,23.45,14.81,10.7,17.56,1017.86,1015.62,-2.0361,-2.92,0,44.570312
20.68,26.61,17.08,11.99,20.05,1017.33,1015.1,-1.9123,29.67,5.56,44.9375
20.79,24.78,17.39,15.8,21.56,1016.31,1014.08,-1.9481,34.01,132.3,44.992188
13.99,17.88,8.28,8.08,13.76,1021.1,1018.83,-1.9608,-7.72,2.21,45.101562
15.1,20.9,11.1,6.15,14.81,1019.55,1017.3,-2.1025,-44.69,0,45.625
16.55,19.89,13.92,8.47,15.82,1017.06,1014.82,-1.454,8.02,0.19,46.820312
18.55,21.66,15.61,12,18.46,1017.33,1015.08,-1.8227,27.69,7.91,48.023438
20.22,23.87,17.75,17.69,20.22,1015.74,1013.5,-1.6066,34.8,129.27,49.867188
15.9,20.88,11.97,12.77,15.45,1020.62,1018.36,-1.8983,-7.85,3.61,52.203125
17.01,22.62,13.33,11.35,16.79,1022.39,1020.13,-2.3862,-13.53,0,54.625
15.2,18.62,11.73,11.89,15.24,1020.11,1017.84,-1.5579,16.46,6.75,57.367188
12.58,15.5,8.64,8.86,12.76,1021.89,1019.6,-1.8135,2.55,3.54,59.117188
11.74,17.69,6.89,7.11,12.01,1021.48,1019.19,-1.8967,-2.1,0.26,59.515625
12.87,17.63,9.45,5.9,12.75,1022.08,1019.8,-2.0826,-5.39,0,59.148438
15.36,19.95,11.64,9.56,14.88,1019.67,1017.4,-1.9487,10.85,0,57.867188
13.61,20.99,7.52,8.07,13.42,1018.65,1016.37,-2.2045,2.5,8.28,55.992188
9.6,15.64,4.51,-1.22,8.4,1018.43,1016.13,-2.5771,-26.08,0,53.625
8.41,14.24,3.46,-0.49,7.86,1022.45,1020.13,-2.0117,-14.4,0,51.28125
8.73,15.23,4.53,2.13,8.32,1022.85,1020.54,-1.5222,-19.83,0,49.421875
11.82,17.71,7.3,5,10.7,1018.92,1016.64,-1.5199,-27.15,0,47.820312
12.46,14.25,10.95,8.18,12.26,1018.02,1015.73,-0.9089,14.84,3.2,46.445312
12.94,13.8,11.48,11.69,12.72,1016.73,1014.46,-0.7211,29.03,5.82,47.171875
11.76,14.38,7.1,8.58,11.62,1018.07,1015.77,-0.7729,1.55,2.57,49.90625
7.67,13.58,2.68,-1.97,6.67,1022.83,1020.51,-2.3155,-33.97,0,53.773438
10.27,16.51,5.98,0.8,9.07,1019.39,1017.1,-1.9072,-12.41,0,58.195312
9.03,15.27,3.77,0.26,7.85,1019.69,1017.38,-1.784,-11.59,0,60.671875
8.43,13.83,4.28,-2.93,7.86,1024.92,1022.59,-1.8648,-9.82,0,59.921875
10.61,13.66,6.1,3.14,10.29,1025.02,1022.7,-1.3977,6.8,0.67,56.820312
7.43,10.98,3.42,5.45,6.73,1022.42,1020.08,-0.7527,0.26,4.99,53.328125
8.3,14.69,3.8,2.52,7.71,1022.05,1019.74,-1.3902,-20.78,0,50.171875
9.77,16.6,5.48,2.55,8.51,1020.03,1017.74,-1.5249,-8.84,0,47.539062
10,15.81,5.44,3.96,9.38,1022.87,1020.56,-1.2607,-13.04,0,45.554688
11.89,15.55,7.33,6.52,11.49,1019.56,1017.26,-1.2569,9.8,1.59,44.1875
10.89,11.55,10.02,9.58,10.72,1016.74,1014.44,-0.4583,23.07,4.91,43.890625
10.43,11.64,9.07,8.57,9.98,1019.05,1016.74,-0.9436,20.35,3.78,45.242188
5.96,9.56,2.26,2.06,4.68,1025.96,1023.6,-1.0488,-8.63,1.93,48.1875
7.57,10.18,3.44,0.09,7.97,1022.56,1020.22,-1.4565,-13.61,4.79,51.929688
5.95,7.58,3.65,3.84,5.87,1020.14,1017.79,-0.7558,9.14,1.31,55.734375
4.24,9.03,0.8,1.11,3.74,1025.39,1023.04,-0.9194,-32.14,0.12,58.328125
8.07,12.7,2.76,1.85,7.63,1019.54,1017.23,-1.369,-22.49,0,59
9.41,14.63,4.92,1.84,8.6,1020.94,1018.62,-1.4329,4.26,0,58
8.83,11.89,5.56,3.56,8.55,1022.3,1019.97,-1.3508,3.93,0.12,55.640625
9.14,13.1,6,3.92,9.08,1025.49,1023.16,-1.2166,-9.17,0.32,52.585938
6.13,8.67,4.16,2.41,6.47,1025.74,1023.38,-1.3174,11.18,0.81,49.867188
7.01,8.03,5.12,4.09,7.59,1022.6,1020.26,-0.6418,-15.67,3.11,48.273438
4.79,10.58,-0.39,-1.37,3.69,1024.54,1022.19,-1.3538,-22.34,0.02,48.148438
5.96,10.06,1.48,-5.54,5.4,1022.29,1019.95,-1.4609,-14.27,0,49.132812
4.4,10.08,-0.75,-5.85,3.11,1025.29,1022.92,-1.5366,-25.29,0,49.945312
5.08,9.36,0.33,-5.13,4.53,1021.35,1019.01,-1.3778,0.42,0,49.515625
5.53,12.02,-0.39,-2.56,3.03,1023.7,1021.37,-1.1223,-9.6,0,48.03125
3.51,9.15,-1.17,-5.86,2.94,1025.95,1023.57,-1.2536,-23.41,0.38,46.171875
0.65,4.76,-1.76,-11.18,0.57,1027.3,1024.9,-1.1722,-32.75,0,44.390625
2.42,5.98,-0.71,-6.94,2.08,1026.71,1024.32,-1.0185,-27.94,0,42.90625
2.76,7.47,-0.72,-2.84,2.27,1029.87,1027.48,-0.8751,-19.55,0,41.773438
5.07,8.93,-0.15,-1.45,4.63,1027.19,1024.83,-0.9147,-8.49,2.68,40.84375
10,12.49,6.26,6.26,9.56,1018.38,1016.07,-0.8128,26.69,18.94,40.515625
5.36,7.35,3.67,3.23,5.66,1020.01,1017.65,-0.7429,23.55,23.84,41.28125
6.22,7.16,3.74,4.56,6.81,1022.34,1019.99,-0.4302,3.42,1.16,43.695312
6.51,7.12,5.54,4.75,5.94,1024.55,1022.19,-0.4469,0.52,4.87,48.484375
4.48,7.01,1.02,0.14,4.51,1030.27,1027.88,-0.9602,-13.5,1.6,54.21875
-0.79,3.65,-4.43,-7.16,-1.02,1033.48,1031.05,-1.0622,-55.91,0,58.148438
1.57,3.7,-2.8,-4.9,1.8,1028.01,1025.61,-0.9038,-32.88,0,58.953125
5.56,6.91,3.42,3.75,5.31,1022.2,1019.85,-0.5549,14.86,1.21,57.882812
2.82,3.3,2.3,1.6,3.4,1026.36,1023.97,-0.6162,1.58,7.88,56.46875
1.01,3.3,-2.21,-2.12,0.75,1034.09,1031.67,-0.6835,-18.14,1.48,55.914062
-2.58,1,-5.17,-8.64,-2.79,1034.38,1031.93,-0.9635,-42.48,0.24,56.679688
-0.08,4.23,-4.31,-4.8,-0.3,1027.81,1025.41,-0.8681,-21.31,0,57.390625
2.04,5.72,-1.3,-3.16,2.53,1033.05,1030.64,-0.9754,-3.98,0.11,56.40625
1.02,1.34,0.08,0,1.36,1030.4,1027.99,-0.4101,12.42,3.63,54.5
2.5,3.09,0.99,2.12,1.92,1023.94,1021.56,-0.0219,15.53,1.78,53.460938
3.38,4.11,2.06,2.61,3.25,1024.63,1022.25,-0.2462,-4.3,1,54.140625
-1.08,1.62,-4.43,-5.03,-1.82,1030.33,1027.9,-0.9118,-20.25,3.62,58.304688
-2.54,1.06,-4.87,-9.26,-4.57,1029.24,1026.8,-1.0016,-36.78,0,68.10156
0.83,5.3,-3.69,-4.83,-1.06,1023.04,1020.65,-1.0147,-20.09,0,80.390625
2.58,8.76,-1.48,-3.13,-0.13,1024.1,1021.73,-0.7594,-16.28,0,88.359375
-1.52,2.23,-5.51,-9.98,-1.22,1038.11,1035.64,-1.2006,-28.6,0,89.921875
-3.63,-0.98,-5.78,-9.56,-2.66,1039.79,1037.31,-0.8145,-30.71,0.17,88.6875
-2.12,0.56,-5.29,-6.74,-1.13,1031.02,1028.57,-0.697,-6.24,0.16,86.796875
-0.83,2.48,-3.81,-6.8,-0.16,1028.79,1026.36,-0.8138,-12.96,0.01,83.484375
0.08,3.28,-2.27,-6.72,0.58,1027.4,1024.99,-0.8826,-25.2,0.93,78.484375
0.44,4.8,-2.71,-4.73,0.39,1025.48,1023.09,-0.8321,-20.71,0.04,72.515625
1.68,6.09,-2.67,-4.89,1.41,1028.27,1025.87,-0.9152,-25.23,0,66.3125
0.4,5.02,-4.02,-4.1,0.58,1030.52,1028.1,-0.8417,-18.39,0,60.578125
0.87,5.59,-3.82,-3.63,1.06,1029.71,1027.31,-0.8201,-16.35,0,55.78125
2.2,8.41,-2.78,-2.62,0.98,1026.61,1024.24,-0.8302,-21.62,0,52.0625
4.65,9.91,-2.04,-0.54,4.79,1023.71,1021.36,-0.84,-25.56,0,49.140625
5.01,9.96,-1.55,2.07,4.57,1022.79,1020.44,-0.4636,-11.65,0.59,46.953125
2.76,8.24,-0.74,0.1,2.97,1026.17,1023.79,-0.7983,-39.59,0.05,45.640625
2.54,5.24,0.61,-0.93,2.16,1025.84,1023.45,-0.8147,-18.95,0.31,45.234375
1.28,4,-1.47,-2.59,1.03,1032.56,1030.14,-0.5254,-18.53,0.2,45.453125
-1.43,2.9,-5.57,-7.34,-1.86,1038.1,1035.66,-0.9153,-39.16,0,45.5625
-0.33,5.11,-4.41,-6.51,-0.74,1031.09,1028.68,-0.8641,-48.45,0,45.109375
5.05,9.85,-2.76,-1.46,4.5,1025.16,1022.8,-0.9487,-24.06,2.06,44.0625
6.34,8.53,3.69,3.75,5.82,1022.71,1020.36,-0.2757,18.43,28.2,43.09375
2.58,3.44,1.87,1.13,2.18,1027.12,1024.73,-0.5697,6.28,9.29,42.765625
2.34,3.37,0.67,-0.68,2.42,1027.52,1025.12,-0.5552,-6.15,3.52,43.4375
2.69,7.44,0.08,-0.43,2.62,1022.32,1019.96,-0.8625,-16.88,0,45.21875
1.7,6.22,-2.76,-1.14,1.28,1025.32,1022.96,-0.8076,-26.67,0.07,47.015625
2.42,8.83,-2.12,-2.01,2.18,1022.15,1019.81,-1.0439,-31.59,0,47.46875
4.13,10.62,-0.64,-0.42,3.91,1026.3,1023.93,-1.0107,-3.87,0,46.453125
2.61,7.7,-0.86,-0.79,3.12,1028.46,1026.09,-0.9011,-10.9,0,44.734375
6.88,12.62,-0.28,1.56,6.53,1022.94,1020.61,-1.1775,-17.11,0,42.828125
7.98,15.58,2.88,2.6,6.93,1024.37,1022.07,-1.1419,0.21,0.98,41.15625
11.05,15.85,3.96,4.8,10.85,1022.3,1020,-1.8813,7.71,1.93,39.828125
11.74,14.28,9.03,9.73,12.14,1017.81,1015.53,-0.9396,30.68,19.57,41.0625
7.54,8.93,4.82,5.01,7.74,1026.16,1023.81,-0.5976,8.07,8.6,49.421875
5.64,7.89,4.18,0.35,6.39,1027.96,1025.59,-1.3048,14.92,3.95,74.0625
8.43,10.01,6.05,6.07,8.54,1017.1,1014.78,-0.9162,25.88,48.7,110.21875
5.48,7.34,3.8,2.79,5.8,1023.49,1021.12,-1.2351,17.14,39.9,134.21875
3.67,4.27,3.15,1.77,3.77,1023.02,1020.64,-0.5073,-6.38,13.79,143.65625
3.38,3.94,2.23,0.17,4.84,1024.18,1021.8,-0.8275,-11.25,2.93,150.73438
-1.81,2.43,-4.45,-7.24,-1.16,1034.26,1031.8,-1.0336,-22.72,1.08,155.625
-3.22,-1.65,-4.53,-7.26,-3.86,1035.2,1032.74,-0.7388,-22,0.49,152.8125
-0.8,2.77,-3.21,-4.49,-2.35,1028.6,1026.18,-0.9279,-27.07,0.02,143.40625
2.54,7.39,-2.03,-1.8,1.51,1027.78,1025.39,-0.9851,-21.27,0,131.0625
3.75,6.47,0.5,0.14,4.38,1028.91,1026.52,-1.1577,-1.51,1.66,118.59375
2.82,5.75,0,0,2.51,1029.48,1027.1,-0.6924,-38.94,1.07,108.6875
4.93,7.57,0.69,-0.41,5.25,1024.47,1022.11,-1.4142,-22.98,0.36,101.84375
6.02,8.11,3.68,3.77,6.02,1023.26,1020.9,-0.6431,3.38,1.81,96.25
4.67,8.39,0.79,0.95,4.7,1027.56,1025.18,-1.1148,-19.13,0.09,90.28125
7.65,11.19,1.53,1.99,7.91,1019.88,1017.54,-1.6464,-0.01,0.85,83.375
8,10.1,5.87,4.85,7.73,1016.58,1014.25,-0.565,11.02,1.06,76.53125
1.56,6.22,-0.85,0.04,1.42,1024.9,1022.5,-1.067,2.84,3.45,72.09375
0.46,3.03,-4.38,-2.19,-5.09,1030.73,1028.32,-0.4726,-22.39,0.1,73.3125
2.84,5.14,-2.84,-1.05,-0.5,1029.34,1026.95,-0.6414,-25.48,0.02,85.125
6.01,8.86,1.93,1.75,3.18,1028.63,1026.27,-0.8654,-7.98,0,103.75
6.99,12.87,2.13,2.18,5.18,1030.04,1027.7,-1.349,-19.35,0,115.96875
8.41,14.26,2.88,2.68,8.17,1028.32,1025.98,-1.8795,-37.43,0,118.625
11.15,15.25,5.94,5.01,9.7,1022.5,1020.19,-1.4891,9.35,0.18,115.21875
13.78,17.54,9.11,9.52,13.53,1019.96,1017.68,-1.7157,19.78,3.2,108.25
10.49,13.72,6.7,7.89,9.31,1019.58,1017.27,-1.0678,14.2,1.36,100.59375
9.93,12.09,6.71,6.28,10.35,1018.09,1015.78,-1.4443,12.31,5.02,94.90625
12.54,17.18,5.66,8.07,12.45,1013.5,1011.22,-2.3969,20.44,5.77,91.46875
4.41,7.79,0.36,-5.39,4.48,1030.49,1028.1,-2.0192,-39.13,0,89.46875
2.87,6.5,0.46,-4.61,2.53,1032.64,1030.24,-1.8769,-42.05,0,90.25
7.78,13.1,1.59,-1.06,7.07,1025.18,1022.85,-2.2921,-13.1,0,92.625
11.76,19.14,6.38,0.83,10.15,1024.88,1022.57,-2.5949,-4.1,0,92.59375
12.85,20.42,7.38,4.49,10.85,1021.7,1019.42,-2.4946,-11.08,0,88.65625
17.71,23.9,11.46,5.17,14.56,1016.37,1014.12,-3.2347,-12.98,0,81.8125
17.47,23.62,13.06,5.12,15.29,1013.69,1011.45,-3.2282,-8.92,0,74.03125
20.32,27.08,15.6,8.77,17.33,1009.55,1007.33,-3.2012,-3.15,2.6,66.375
19.94,29.65,7.36,6.47,17.35,1011.32,1009.07,-4.4586,5.84,73.69,59.53125
6.71,9.7,4.3,-2.84,7.57,1026.22,1023.86,-2.5236,-7.85,1.03,54.03125
7.48,9.41,4.5,3.31,8.81,1019.52,1017.19,-1.337,23.03,1.96,50.21875
12.61,17.87,7.23,8.62,13.49,1012.63,1010.35,-2.4981,27.26,26.14,47.84375
4.61,7.94,0.74,-1.35,4.5,1027.97,1025.59,-1.7004,-22.52,0.05,46.90625
5.97,9.6,2.39,-0.57,6.53,1028.51,1026.14,-2.2229,-29.06,0,47.15625
10.15,15.45,4.63,4.19,9.69,1022.29,1019.98,-2.2622,-1.66,0,47.875
11.91,13.75,8.95,9.4,12.21,1018.77,1016.47,-1.5913,26.12,9.85,49.09375
10.67,12.02,8.53,9.76,10.79,1009.6,1007.31,-0.4093,18.54,8.9,51.90625
15.1,20.83,9.75,10.33,14.3,1008.68,1006.44,-2.923,-9.1,0,57.65625
13.55,17.72,7.74,9.8,13.02,1008.79,1006.54,-1.5308,5.98,0.85,68.8125
5.19,8.03,1.19,0.85,5.67,1023.13,1020.76,-2.1485,-22.32,0.19,81.71875
10.4,13.94,3.55,5.25,11.03,1012.3,1010.01,-2.6812,-0.57,7.28,88.71875
12.11,18.63,7.46,7.73,12.23,1015.22,1012.93,-2.0384,11.54,5.77,88.90625
10.58,13.07,8.48,7.35,11.25,1013.26,1010.97,-1.7428,9.67,0.17,85.71875
6.45,10.96,2.03,1.1,6.39,1020,1017.65,-2.3447,-9.45,0,81.65625
7.57,10.86,4.66,-1.01,8.58,1021.59,1019.24,-2.9705,-9.49,0.02,76.71875
7.19,10.06,4.02,2.63,6.04,1018.77,1016.44,-1.2471,7.96,0.13,71.3125
11.01,16.29,7.04,6.6,11.08,1014.88,1012.6,-2.4651,-18.23,0.12,65.5
13.7,20.56,8.4,7.76,14.37,1017.4,1015.12,-2.5957,-0.29,0.18,59.59375
10.48,14.21,6.81,5.1,11.21,1020.07,1017.76,-2.3041,-0.09,0.48,54.25
12.06,17.69,7.26,6.32,12.8,1019.54,1017.24,-2.3485,9.77,1.13,49.84375
12.2,16.93,8.37,5.9,12.72,1020.4,1018.1,-3.0496,-35.78,0,46.40625
15.86,22.22,8.87,9.09,15.6,1017.01,1014.74,-3.0802,1.94,1.29,44.03125
11.9,16.92,7.81,1.86,11.54,1019.48,1017.18,-3.4001,-66.36,0,42.625
15.17,20.75,10.71,5.8,14.48,1012.01,1009.75,-3.437,-5.92,0,41.75
16.87,21.73,12.88,11.24,17.15,1009.06,1006.81,-3.1178,12.3,0.07,41.1875
12.52,16.01,8.23,9.24,12.43,1010.78,1008.5,-2.364,19.75,5.74,41.25
9.05,13.51,3.53,-1.58,8.46,1016.61,1014.31,-3.5768,-29.33,0.02,41.4375
12.17,16.89,8.12,-0.29,12.26,1013.83,1011.55,-3.5923,-26.32,0,41.5625
16.51,23.52,8.49,4.42,15.2,1015.15,1012.89,-3.6503,8.14,1.19,41.75
12.02,17.23,4.57,-2.91,11.42,1022.95,1020.65,-3.5274,-15.99,0,41.78125
13.16,19.1,6.36,-1.91,11.98,1020.88,1018.59,-3.7465,-11.36,0,41.5625
14.08,20.88,7.94,1.64,12.39,1019.94,1017.68,-3.3743,7.7,0,41.3125
17.98,24.35,12.47,5.65,17.34,1017.21,1014.97,-3.4677,14.73,3.51,40.9375
20.98,26.88,15.74,6.29,19.52,1010.59,1008.37,-3.6238,9.73,14.53,40.21875
18.5,26.05,12.31,9.16,19.01,1010.13,1007.9,-3.3753,7.47,62.88,39.71875
24.46,31.3,19.08,9.78,22.76,1004.32,1002.13,-3.9331,-4.81,0.95,39
21.21,28.68,11.36,10.73,21.61,1004.11,1001.9,-3.1061,21.63,197.65,38.53125
19.01,24.58,13.2,12.51,21.04,1007.08,1004.86,-2.5878,13.1,78.74,38.40625
13.42,18.94,9,2.84,14.04,1016.26,1013.97,-2.7879,18.43,16.65,38.15625
11.21,16.15,6.74,2.4,12.98,1016.2,1013.9,-3.2617,12.47,11.7,38.0625
7.96,10.02,5.07,2.38,9.54,1022.58,1020.24,-1.8598,-21.2,1.32,38.5
10.68,14.45,7.58,3.22,12.45,1021.54,1019.23,-2.6022,-17.61,0,39.09375
12.02,15.12,10.65,7.98,12.89,1014.34,1012.05,-2.1202,19.06,8.11,40.03125
12.78,15.27,10.32,9.74,12.6,1013.86,1011.59,-1.7619,2.79,4.95,41.5625
16.66,21.86,12.2,12.15,17.77,1013.45,1011.21,-3.0288,-12.49,0.1,43.4375
18.04,26.1,10.48,9.47,17.43,1014.57,1012.33,-3.8478,-0.11,31.09,45.53125
19.57,25.98,13.17,7.71,18.79,1012.5,1010.28,-4.0952,-2.36,0,46.9375
22.62,30.07,15.74,12.58,21.01,1009.65,1007.45,-4.059,-4.92,5.31,46.9375
24.23,29.81,19.08,15.85,23.44,1009.42,1007.22,-3.2712,24.76,350.66,45.96875
18.57,23.71,11.6,7.25,19.06,1013.06,1010.82,-3.5068,30.04,30.03,44.53125
18.74,25.49,11.45,4.95,17.39,1013.88,1011.65,-3.6227,-16.26,0,43.21875
19.34,25.45,13.41,4.88,19.74,1013.89,1011.65,-3.7388,5.72,0,42.28125
19.57,25.61,13.64,7.85,20.07,1012.65,1010.41,-3.1992,14.49,0,41.84375
20.96,27.71,15.27,11.21,20.97,1013.82,1011.59,-2.7807,17.43,0.17,41.84375
20.6,25.94,15.03,12.48,21.56,1017.99,1015.75,-2.3911,-15.77,0.67,41.90625
21.62,27.92,16.9,12.53,22.51,1016.76,1014.53,-2.7887,-13.04,0,41.59375
19.82,23.06,17.67,15.64,20.34,1015.03,1012.79,-1.1778,30.01,0.43,41.5
19.31,21.19,17.14,16.49,19.25,1013.6,1011.37,-2.5493,33.61,24.47,42.15625
18.86,19.51,17.58,17.83,18.02,1009.38,1007.16,-1.33,34.6,51.39,46.6875
18.68,20.09,17.12,17.65,17.98,1008.22,1005.99,-0.7274,30.96,46.34,58.6875
19.55,22.52,16.7,16.46,18.93,1008.13,1005.9,-2.1654,-2.34,31.72,79.09375
21.62,27.17,16.04,14.29,20.43,1005.88,1003.68,-5.1093,-9,27.38,102.3125
23.2,29.74,16.48,14.32,20.92,1005.85,1003.65,-5.1691,-21.9,46.24,117
25.32,32.09,19.25,15.48,22.81,1005.72,1003.53,-5.1799,-28.84,0.43,118.96875
26.73,33.3,21.21,18.79,25.23,1005.64,1003.45,-4.5771,-12.15,10.92,113.15625
21.17,24.81,17.26,16.95,21.59,1008.9,1006.69,-3.5111,8.4,34.97,105.125
17.57,19.02,15.73,16.32,17.19,1010.94,1008.71,-2.1428,33.39,14.46,99.59375
19.05,19.7,17.54,18.2,18.94,1009.09,1006.87,-0.7896,33.43,5.99,98.875
19.29,21.52,17.09,17.54,18.52,1005.01,1002.8,-1.3615,16.13,9.91,103.28125
22.52,26.59,18.93,17.38,21.94,1003.92,1001.72,-4.1514,1.2,0.69,110.03125
23.99,28.76,18.14,17.96,22.55,1004.58,1002.39,-4.0516,2.6,26.7,113.8125
25.58,31.51,19.53,18.22,24.14,1004.62,1002.43,-4.9059,-13.1,190.9,111.90625
26.56,32.47,21.94,19.32,25.74,1007.59,1005.39,-4.8798,-1.99,186.36,105.875
24.2,27.15,21.77,20.62,23.73,1010.15,1007.94,-2.309,9.71,507.93,99
25.95,30.61,22.27,21.15,26.1,1009.24,1007.04,-3.5563,27.97,522.65,92.28125
25.95,30.46,21.98,21.56,26.42,1006.54,1004.34,-4.1853,33.55,721.5,86.28125
23,24.35,20.91,20.72,22.11,999.12,996.94,-3.6009,34.53,26.85,94.59375
20.12,22.72,18.23,17.01,20.27,1002.85,1000.64,-2.579,21.29,14.78,173.21875
23.65,28.84,19.77,18.8,22.94,1007.88,1005.68,-3.6343,8,0.33,282.96875
19.98,25.22,16.07,16.13,19.88,1013.52,1011.29,-3.2071,31.57,17.88,299.65625
16.63,17.49,15.38,14.73,16.58,1012.5,1010.26,-1.5815,30.3,1.55,277.53125
20.2,22.19,16.61,18.1,20.1,1007.16,1004.95,-1.227,28.59,10.88,264.625
20.5,22.19,18.98,18.57,20.19,1007.31,1005.09,-1.0384,17.13,35.05,255.375
21.16,26.13,17.02,16.43,20.35,1008.36,1006.15,-3.6778,7.12,0.42,239.84375
23.97,29.68,18.87,16,22.27,1009.73,1007.52,-5.4629,0.93,0,218.625
24.33,29.17,20.73,17.76,23.23,1011.61,1009.39,-5.2284,-1.78,6.18,196.75
