SLP,SP,AT,Tmax,Tmin,GF,DPT,Evap,K,CUPE,runoff
1032.02,954.91,7.35,8.67,5.46,7.29,3.88,-1.5128,8.39,10.9,302.21875
1036.6,958.68,5.61,7.89,3.65,5.74,-2.04,-2.1243,-1.84,0.03,307.34375
1025.93,949.79,8.21,13.63,3.1,8.48,3.08,-2.5177,6.8,0.21,306.6875
1016.92,942.15,11.77,16.56,4.89,11.75,6.43,-2.5482,8.73,32.62,290.90625
1013.48,939.44,13.6,18.85,8.24,13.09,8.67,-2.5176,13.76,48.02,272.0625
1008.02,934.64,14.76,19.36,9.46,14.97,9.5,-2.2267,18.8,7.26,261.1875
1017.18,942.66,12.86,16.18,10.6,11.56,9.54,-0.8881,19.94,9.88,259.9375
1027,951.38,10.73,14.54,6.36,9.49,5.52,-1.4225,12.39,8.37,277.03125
1021.54,946.7,13.34,18.06,6.89,12.7,8.18,-3.0792,9.24,3.57,317.125
1022.3,948.07,16.55,23.57,10.14,14.71,9.72,-3.3421,6.19,12.19,338.6875
1015.14,941.5,16.03,23.1,11.09,16.07,11.43,-3.1206,3.61,302.74,332.40625
1006.57,933.84,18.25,25.23,12.81,17.9,13.24,-3.1999,1.88,945.44,316.4375
1009.78,937.03,20.58,25.99,14.41,19.14,12.28,-3.4253,2.19,1103.35,301.375
1000.37,928.23,20.28,25,15.28,19.93,11.59,-3.7744,10.82,162.71,294.09375
1009.74,936.18,15.63,19.92,10.98,15.64,7.9,-1.5238,15.11,22.54,299.75
1015.05,939.98,10.18,11.93,8.45,10.38,7.07,-1.4667,8.86,23.22,317.09375
1028.05,951.73,7.97,9.5,6.32,7.64,5.25,-1.3166,5.17,6.1,348.46875
1029.44,952.85,8.07,11.45,4.05,7.17,4.44,-1.1811,3.03,0,373.09375
1023.86,947.91,8.45,11.46,5.39,8.69,4.27,-1.5726,3.69,1.08,374.1875
1022.03,947.4,13.93,18,7.13,13.62,7.11,-2.8666,10.36,0,357.59375
1016.06,941.77,13.56,16.65,10.81,14.11,8.48,-1.6407,16.84,1.14,336.8125
1015.21,940.9,13.7,16.45,11.09,14.07,9.14,-1.7124,18.3,5.3,323.25
1014.57,940.37,13.89,16.45,11.61,14.36,10.58,-1.7575,18.88,46.81,312.9375
1013.85,939.61,12.41,14.32,11.23,12.69,10.1,-1.0943,15.78,32.64,306.875
1021.6,946.38,11.57,14.85,8.95,11.8,6.79,-1.6441,11.99,8.84,315.875
1020.84,945.47,10.37,12.96,8.24,10.84,8.77,-1.6667,13.29,23.52,347.0625
1016.22,941.52,12.07,13.72,9.66,12.93,8.51,-1.5808,10.65,1.71,365.09375
1013.46,939.39,14.28,16.8,11.35,14.52,10.02,-2.1787,16.66,100.45,357.28125
1013.79,939.86,14.3,16.03,12.05,14.72,10.88,-1.2953,20.25,58.26,340.0625
1021.84,947.05,13.01,15.7,10.69,12.48,9.98,-1.0447,17.39,27.72,328.78125
1022.03,947.08,12.93,16.88,9.75,12.26,9.34,-1.8236,13.8,14.8,336.375
1012.23,938.09,13.77,16.23,10.36,14.64,11.16,-2.0511,-1.01,0.87,352.9375
1008.24,934.46,12.8,14.72,10.9,13.03,10.6,-1.4124,7.55,1.8,349.34375
1006.68,933.42,15.42,18.97,11.98,15.7,11.75,-1.9707,21.08,33.98,333.75
1005.45,932.38,16.48,19.78,12.34,16.4,13.11,-2.1964,15.78,307.04,320.40625
1013.75,939.85,14.88,19.72,12.21,15.3,11.63,-1.7898,18.01,122.15,310.59375
1018.41,942.93,9.76,11.85,8.09,10.18,6.19,-1.3122,7.34,10.01,312.46875
1024.64,948.55,9.23,10.51,8.27,9.25,7.51,-1.4259,11.64,6.15,332.90625
1022.02,946.85,12.43,14.93,9.71,11.6,8.62,-1.908,7.03,47.95,348.5625
1017.5,942.94,13.72,16.03,10.5,13.35,9.84,-2.2869,12.04,127.99,346.09375
1016.22,941.99,14.14,16.3,11.86,14.34,10.76,-1.8546,16.82,27.51,331.5625
1010.63,937.21,17.01,21.77,12.44,16.88,12.21,-3.3924,16.94,0,317.375
1006.94,933.66,16.3,18.87,13.35,16.61,13.19,-1.6687,19.4,5.76,307.3125
1005.17,932.3,18.29,21.3,15.61,18.92,14.46,-2.628,23.25,35.25,298.4375
1015.52,941.72,16.8,20.28,13.47,16.42,11.83,-2.1104,16.73,24.07,298.34375
1024.9,950.01,13.19,15.49,10.8,12.35,8.55,-1.2741,11.22,10.2,315.9375
1018.37,944.21,16.05,18.84,12.64,16.22,10.27,-2.5701,14.03,0.08,341.21875
1013.8,939.85,14.9,17.14,13.51,14.81,11.07,-0.869,18.68,2.57,351.71875
1020.93,946.36,14.25,15.59,12.74,14.37,11.82,-1.2593,21.62,25.38,346.875
1020.09,945.82,15.27,19.18,10.38,14.48,10.43,-2.8987,11.54,1.66,354.625
1015.29,941.57,17.11,22.07,13.69,17.03,12.1,-3.4951,9.65,30.89,401.875
1013.97,940.78,20.08,25.01,15.38,19.82,13.9,-3.9952,27.5,176.32,414.21875
1012.65,939.65,21.96,25.7,17.71,21.16,15.62,-3.4095,30.13,189.47,392.46875
1014.04,941,21.8,25.91,18.75,20.7,16.24,-2.4959,31.9,50.96,373.46875
1012.04,939.22,22.18,26.45,17.4,21.65,16.2,-3.5075,29.63,175.93,375.9375
1005.43,933.17,23.76,27.76,19.96,23.94,18.58,-3.465,30.71,136.57,384.71875
1001.08,928.88,21.44,24.1,19.01,21.7,18.35,-1.8661,32.65,29.43,386.1875
998.13,926.54,24.59,29.02,21.29,24.38,19.79,-4.2994,26.84,1154.51,406.5
1004.94,932.46,21.4,25.38,17.44,21.89,17.1,-2.3748,27.17,431.06,457.625
1013.08,939.57,17.93,20.64,16.08,16.78,12.81,-1.4061,17.16,22.31,502.46875
1007.83,934.73,18.62,22.07,16.11,19.7,13.71,-3.1265,17.31,4.49,562.46875
1006.47,933.58,19.08,21.53,17.18,19.32,15.18,-2.3021,21.25,11.4,567.53125
1014.26,940.44,15.89,18.54,14.51,15.45,13.88,-1.4174,20.92,61.42,551.78125
1012.81,939.17,17.19,20.5,15.36,16.97,13.3,-2.6421,19.7,0.04,583.34375
1010.28,937,18.05,20.77,15.81,19.06,14.57,-2.9515,22.81,4.01,639.15625
1007.37,934.24,17.83,19.8,16.61,18.47,15.08,-1.9929,23.9,16.06,637.0625
1010.5,937.22,18.35,20.81,16.74,18.74,15.37,-2.3992,24.75,19.7,616.8125
1010.99,937.7,19,22.15,16.52,19.02,15.27,-2.3125,24.42,38.47,611.21875
1006.32,933.3,18.14,20.27,16.77,18.88,15.71,-2.0259,22.8,26.7,621.09375
1007.99,934.95,19.5,22.43,16.73,18.72,16.3,-2.2904,24.78,18.19,614.6875
1008,935.17,20.55,23.56,17.97,21.25,16.96,-2.9439,25.25,135.99,602.8125
1011.96,938.44,17.19,19.63,14.52,16.7,12.61,-1.5576,19.28,38.43,602.65625
1010.61,937.25,18.18,22.1,15.78,18.41,13.94,-2.5849,20.66,0.07,603.15625
1008.81,935.52,17.65,20.12,16.12,17.73,14.73,-1.9087,19.47,7.2,585.15625
1010.11,936.95,18.16,19.83,16.26,17.53,14.6,-1.3324,21.59,27.89,555.8125
1006.5,934.09,22.12,28.21,16.28,20.69,14.69,-4.6952,20.92,0,530.21875
1004.14,932.11,23.83,29.05,19.62,23.39,16.72,-5.0425,19.81,333.06,520.53125
1000.94,929.31,25.7,29.45,21.81,25.29,17.91,-4.6641,28.4,70.33,496.21875
1001.12,928.88,20.57,22.28,19.49,21.08,18.54,-1.4686,31.79,18.86,469.40625
1007.59,934.66,18.47,19.92,17.6,18.05,16.97,-1.1807,26.29,28.29,475.0625
1009.85,937.08,21.66,25.15,19,21.14,16.34,-3.8536,21.64,1.1,537.0625
1010.25,937.56,23.06,26.64,19.94,22.33,17.23,-4.1401,22.21,10.18,608
1007.92,935.52,24.04,27.39,21.45,23.75,17.88,-4.3949,26.35,1.39,613.84375
1006.37,933.93,22.56,24.76,20.03,22.82,17.88,-2.7152,29.25,22.72,594.375
1010.15,936.99,18.63,20.43,17.08,18.58,17.52,-0.9044,26.51,57.61,578.59375
1014.91,941.29,18.5,20.64,16.43,17.5,15.21,-1.2906,23.33,7.99,594.90625
1015.45,941.97,20.04,23.9,16.62,19.26,15.41,-3.4,24.23,5.79,645.875
1014.05,940.9,21.7,24.91,18.99,21.4,17.02,-3.9097,25.45,2.59,661.3125
1012.1,938.91,20.09,22.98,18.05,20.76,17.07,-2.5457,29.88,57.6,632.03125
1010.14,936.87,18.25,18.81,17.91,17.97,17.06,-0.8925,28.32,8.94,605.9375
1005.81,932.79,18.12,20.01,17,17.98,16.74,-1.1322,25.48,7.53,628.5625
1005.52,932.81,19.71,21.25,17.79,19.45,16.8,-2.2548,25.48,45.05,664.3125
1008.29,935.68,23.16,26.75,20.44,21.81,17.37,-3.6558,25.71,15.99,668.90625
1010.28,937.24,20.1,21.75,18.77,19.72,17.93,-1.1534,25.47,116.4,650.65625
1011.21,938.09,20.45,22.73,18.32,20.19,17.55,-1.7745,24,4.56,639.0625
1011.21,937.98,19.76,21.8,18.29,19.45,17.7,-1.2802,24.91,10.79,642.21875
1009.7,936.55,19.45,20.99,18.61,19.07,17.82,-1.1893,26.3,5.29,631.8125
1007.83,935.07,21.36,23.68,19.08,20.34,18.69,-1.8608,25.35,1.83,614.09375
1005.77,933.54,23.65,27.15,21.2,22.93,19.89,-3.2064,16.86,25.4,597.5625
1003.68,931.68,24.8,27.77,22.39,24.38,20.59,-3.6227,24.23,73.01,583.53125
1002.81,930.97,24.88,27.68,21.64,24.52,20.56,-3.8621,21.43,27.28,556.90625
1001.85,930.32,26.47,31.34,22.43,25.82,20.87,-5.4288,16.75,22.47,526.40625
1001.3,929.57,25.96,30.42,21.91,26.31,21.07,-4.6062,30.55,77.01,507.5
1006.78,934.62,24.6,27.89,21.98,23.02,17.97,-3.4623,29.36,25.99,499.03125
1008.46,936.28,24.5,29.2,21.34,23.63,19.38,-3.2811,29.93,147.33,507.65625
