Pre,Pre,runoff
127.57491,146.074488,122.30469
126.618,159.3557006,121.17969
126.10904,174.0643757,120.05469
125.04822,181.3042944,118.91406
123.95236,176.6118246,117.75781
122.25773,132.5716642,116.5625
119.8555,98.50124887,115.36719
118.18968,108.3702907,114.21875
117.47885,110.3329661,113.125
116.38167,101.4773598,112.07031
115.47836,112.3271888,111
114.833496,127.5043102,109.91406
113.97957,141.3504924,108.84375
113.14509,142.5502929,107.78125
112.073044,139.3817448,106.72656
110.90108,132.0182349,105.671875
109.80275,131.4526934,104.60156
108.63987,121.5241758,103.484375
107.4178,118.0482851,102.375
106.545334,120.8291794,101.3125
105.73523,130.1080171,100.28906
104.571365,113.5962897,99.22656
102.3507,76.73381397,98.171875
100.24819,64.90073903,97.171875
99.45474,77.49750129,96.21875
99.32684,111.0886357,95.28906
99.35101,121.5387628,94.33594
98.46898,114.6446666,93.390625
97.52053,117.9321343,92.453125
96.2409,103.2416542,91.53125
94.24711,70.14788352,90.609375
92.62938,66.67639461,89.671875
92.249466,74.1430451,88.75
91.706314,83.3557362,87.828125
91.26276,104.009607,86.9375
90.68788,93.94925578,86.03125
89.39843,62.73731466,85.609375
88.92538,57.80242158,86.921875
90.54422,72.19992502,89.296875
93.30794,93.91141725,89.515625
93.422844,90.15780437,87.6875
90.736,64.56200158,85.8125
88.6722,53.96667867,84.265625
87.94998,92.89176529,82.90625
87.23348,92.62124036,81.65625
85.57248,88.80618463,80.5
84.73706,100.6694999,79.40625
84.22743,119.7052911,78.59375
84.33369,158.8816579,79.984375
85.88049,151.7180257,81.125
86.11646,137.7897576,80.171875
84.859375,101.2170763,78.65625
82.4467,78.76547163,77.234375
80.95187,80.15585997,75.875
79.89885,88.27041047,74.5625
78.55519,81.80149938,73.34375
76.96243,64.50695424,72.265625
75.66748,67.54510135,71.1875
74.54871,57.52240094,70.078125
73.66421,74.71833084,69.046875
73.32921,83.15639572,70.90625
75.24916,80.37000393,87.109375
91.33806,98.07552128,112.34375
116.69055,135.6162683,127.765625
132.12387,132.8788731,133.07812
136.81291,118.7484343,133.25
136.93896,120.7111525,144.73438
148.34732,113.3306663,186.45312
189.88907,158.1336641,257.03125
259.57767,165.1854324,291.4375
292.60645,151.9191435,276.6875
277.9312,146.2362118,247.8125
249.53073,133.3874777,221.6875
223.87216,137.4670477,199.46875
201.7231,99.26666267,180.75
182.70247,82.57520623,165.375
167.79019,85.23511768,152.6875
155.90518,99.31731895,142.4375
146.6771,129.7493341,134.25
139.77017,195.5766852,127.46875
133.74365,211.4608831,121.9375
127.70736,187.2199445,116.84375
122.665146,193.4347324,113.3125
119.98029,238.6398642,112.5625
118.60066,182.0540949,116.21875
120.602844,135.8106832,117.03125
121.678894,151.2949654,115.625
120.79639,158.1449959,121.71875
127.013214,153.8517149,125.21875
130.9842,192.3518095,124.40625
130.48575,190.2984798,121.03125
126.80264,200.516145,116.78125
122.75526,183.1246597,112.5
118.26559,184.1867257,108
114.18074,189.7121456,103.46875
109.49019,162.867388,99.4375
105.06908,155.4202046,96.0625
102.31037,188.4110966,93.375
99.332275,130.6248747,91.09375
96.09605,113.0919505,89.21875
95.406204,157.000999,87.875
95.04534,208.0255142,94.46875
101.74571,217.4665995,126.4375
131.50388,146.6715981,187.09375
189.45758,113.8189752,255.8125
257.08948,136.7380079,288.125
289.35632,147.6509421,276.625
278.27142,140.9864428,254.375
257.31485,182.4670101,234.75
239.18112,215.405391,226.4375
230.26234,168.7594766,220.15625
222.65509,110.5010828,200.65625
203.5957,141.6543872,177.125
181.68457,173.5686637,154.8125
159.9736,164.0745542,136.1875
142.50449,221.3297645,123.78125
131.29387,257.1527683,127.9375
134.89517,229.0243549,163
168.4702,190.0093911,215.03125
219.33633,198.9407814,241.3125
245.4024,212.0306472,237.15625
241.32828,195.3074805,220.5
224.56625,173.9945463,204.78125
208.98969,163.5082537,190.25
194.73988,167.4904666,178.15625
183.45242,194.4002644,177.125
182.28146,177.4951691,185.90625
189.96376,166.9891849,193.03125
196.54405,147.8794806,192.28125
195.09827,111.8318028,185.15625
187.26639,83.88102312,174.25
176.55972,79.96635461,163.09375
166.39215,109.0000278,153.75
158.27574,118.0206879,146
151.16663,136.8095478,139.1875
145.47421,200.9847035,133.75
140.53043,191.3644799,129.75
135.99469,182.065277,127.96875
134.64522,197.1981243,130.5
137.29048,214.3737605,143.59375
149.16989,150.0703097,167.4375
170.80627,103.3203567,190.15625
192.76215,91.40192185,202.46875
205.09341,104.3623729,197.875
200.73865,97.80653577,184.25
187.17484,89.69092424,169.6875
174.19678,161.7010268,157.3125
162.44371,143.4690546,147.5
151.10284,83.39603619,140.09375
143.14209,65.77090501,134.65625
137.61487,37.26005394,130.84375
133.48123,42.81101982,128.40625
132.03128,60.04861407,126.8125
130.91405,69.48485665,125.59375
129.9343,68.88991401,124.53125
129.3743,107.74073,123.5625
129.14493,124.0691338,122.625
128.59715,140.7653127,121.5625
128.52974,189.6248481,120.5625
128.51746,253.2991712,123.0625
129.93414,192.9781257,160.90625
165.28136,136.8097829,251.71875
254.50462,152.4224029,327.875
330.60052,234.7042719,345.78125
348.82898,229.3650995,323.28125
325.73978,182.6170814,297.4375
300.31848,201.8520018,272.125
274.94574,161.1849603,248.5
250.23827,106.7758287,225.65625
227.7355,101.791015,201.5625
204.58954,111.0484827,180.9375
183.73746,69.2842547,164.90625
167.7161,61.09310241,153
156.62607,75.80585323,144.53125
148.88791,82.29084797,138.90625
143.87369,114.7510411,135.53125
140.53319,109.3962874,133.375
137.67032,70.55383928,131.875
135.4314,67.42449003,130.5625
134.09433,64.5664167,129.25
132.82133,50.79807708,128
131.91869,64.18761713,126.8125
131.90314,104.1252981,125.84375
131.98663,152.2860153,124.96875
132.13086,212.7033168,129.28125
136.17847,188.0924704,164.9375
170.57257,187.1959554,227.5625
232.85117,210.330805,258.15625
263.2121,229.6381527,258.15625
263.70154,254.7718325,246.34375
252.01385,239.7562799,233.875
239.68372,243.4969655,227.34375
232.5904,196.7508396,233.78125
237.22055,152.7870084,233.0625
236.1268,138.0534247,219.15625
222.58597,127.1153682,201.625
205.68613,142.9927563,184.71875
189.51509,136.1911638,170.15625
175.01964,123.7922588,158.9375
164.29822,146.6635055,151.375
157.62187,179.1823753,149.03125
155.07956,148.9735963,153.375
158.62013,119.7711116,153.59375
158.9416,123.304789,149.46875
154.82126,115.663907,144.90625
149.97096,107.4156361,141.5
147.0073,140.8185828,139.09375
145.7743,198.4204601,137.53125
144.34805,186.532084,136.4375
142.02574,124.168319,135.3125
140.63036,125.7934997,133.8125
139.69867,134.8707867,132.3125
138.38461,142.5988699,131.09375
137.20667,140.7820003,130
135.87152,123.4049096,128.9375
134.71735,122.2677812,127.78125
134.5382,188.2856238,126.5
133.9038,200.0852487,125.78125
132.6051,174.661272,125.53125
132.08017,157.9086106,125.03125
131.57265,151.2941636,124.359375
131.1783,162.0131212,123.09375
130.38864,192.3213954,122.015625
129.47269,198.2453306,122.140625
129.55183,202.3395892,122.5
130.16826,209.6754111,122.265625
