Pre,Pre,runoff
251.12848,162.1470986,253.03906
242.85574,121.1269337,246.82031
236.93735,151.4483545,239.20312
229.73907,141.5475738,230.72656
221.68669,152.9693693,224.83594
216.07912,149.759562,219.39062
210.87567,149.7572668,215.20312
206.84192,133.1898317,221.42188
212.73146,113.0431089,231.64844
222.45094,121.0745661,231.91406
222.7104,121.6796254,225.77344
216.88565,116.5189875,219.41406
210.81483,109.3919701,211.84375
203.62665,87.60087282,201.00781
193.31451,83.64040072,188.90625
181.8136,108.0172913,178.02344
171.50131,103.7761449,170.125
163.99731,120.5842464,165.41406
159.51971,125.1630432,163.63281
157.8032,111.6549012,165.83594
159.87338,101.6538621,166.63281
160.63477,107.3358923,163.40625
157.53757,103.1800693,162.59375
156.70233,81.24764327,164.60156
158.5944,74.39359584,165.3125
159.30467,69.15795263,162.58594
156.70872,89.68366147,156.74219
151.18478,74.51031034,152.14844
146.79669,90.33947793,147.77344
142.65135,92.54061821,143.27344
138.35509,92.19803977,140.28125
135.41478,76.69575085,141.0625
136.1355,42.4256171,142.92188
137.9162,53.86570696,140.64062
135.73602,55.03465343,136.57812
131.8706,29.93534022,131.95312
127.45296,27.00577176,126.5
122.31155,42.54896679,121.515625
117.56667,26.61710815,119.046875
115.289856,67.12730304,120.28125
116.53422,88.5968108,126.046875
121.95937,66.48258275,136.92188
132.28061,57.24492,148.53125
143.33823,98.34173897,152.26562
147.00403,92.59832579,148.92188
143.8693,108.4507999,142.5
137.7528,95.74541833,136
131.5329,123.3264885,131.45312
127.23852,115.2284894,131.70312
127.43507,112.5279148,140.9375
136.22493,106.6499849,154.53125
149.1878,126.0357382,165.25
159.41733,111.5073859,170.59375
164.49121,143.5697667,170.9375
164.85217,141.8221349,175.9375
169.60379,132.5855396,184.32812
177.6141,121.059541,187.25
180.41058,136.6120984,182.96875
176.33081,137.2396886,177.15625
170.8,145.0334568,174.9375
168.69547,137.1202019,180.98438
174.44235,143.4048045,188.82812
181.9468,146.8421563,191.90625
184.8537,156.4655337,193.5625
186.40134,144.4404402,193.6875
186.56325,158.4311825,193.78125
186.68356,189.4362958,198.10938
190.85406,157.7433786,207.98438
200.20187,199.5385272,223.23438
214.75093,174.462639,247.09375
237.42331,207.6071634,278.03125
266.86798,191.0804868,322
308.72308,241.201099,349.34375
334.76624,254.5144054,352.5
337.7826,243.6666116,345.53125
331.14264,241.1231581,333.59375
319.7869,234.5558546,320.21875
307.11426,267.6769942,308.84375
296.35733,260.8078016,304.5625
292.27496,292.8326314,309.15625
296.55872,292.1726492,335.9375
321.96048,242.8517484,395.59375
378.60904,257.9891464,432.28125
413.4943,240.8150774,434.46875
415.6142,239.9308,422.0625
403.83142,248.4283313,405.1875
387.81433,258.8391571,382.03125
365.79785,255.7547477,359.375
344.30734,244.8090107,339.1875
325.106,273.4802341,333.40625
319.57227,253.8608549,352.53125
337.78717,249.8790245,373.28125
357.55145,276.1986776,374.8125
359.02957,269.7816783,367.84375
352.43735,266.8256625,365
349.73987,271.1545107,362.53125
347.41425,276.6143223,361.3125
346.2638,311.2343527,363.1875
348.05716,282.9287349,376.21875
360.51477,343.0385969,404.65625
387.62012,372.0908913,430.6875
412.38995,375.3204275,465.34375
445.25143,370.1095836,526.65625
503.45462,342.7194676,579.25
553.42285,313.0393894,609.9375
582.6375,310.6716198,602.90625
576.0022,314.9285451,564.6875
539.6714,350.0962434,518.78125
496.03775,344.7590075,483.75
462.70004,338.430624,460.78125
440.87195,294.4783036,443.6875
424.58844,321.4752592,424.25
406.1715,349.1218822,399.71875
382.90683,369.5738051,380.96875
365.02258,386.5754594,400.03125
383.06448,329.2050173,491.4375
470.00458,340.775042,578.9375
553.31213,360.8180588,596.40625
569.9057,391.0525834,577.28125
551.7269,367.0603484,546.125
522.0927,385.0911533,514.71875
492.27734,352.7309949,490.25
468.9867,376.3336456,489.59375
468.3346,376.9022231,493.59375
472.1121,352.3260652,506.03125
483.9406,344.557837,525.90625
502.90616,354.2493276,531.03125
507.81885,386.9131899,526.09375
503.06042,396.7892513,547.8125
523.71106,374.2771858,595.125
568.79364,375.6030482,604.46875
577.67377,441.4445342,598.9375
572.43463,416.31832,588.375
562.3452,418.4087529,578.46875
552.9677,398.322449,565.9375
541.05634,416.1616376,546.78125
522.8365,418.6290317,517.5625
495.0735,418.4906836,491.25
470.0255,426.9215094,483.625
462.71503,383.0436338,512.09375
489.79318,365.5617911,585
559.2031,433.4395344,652.0625
622.96576,475.0718692,714.15625
682.02,436.0241934,750.5625
716.7945,533.8742031,717.625
685.61176,572.4559416,665.0625
635.67633,567.5518974,639.875
611.6844,539.7364091,705.15625
673.5887,542.4419892,959.625
915.71405,595.2899919,1207.8125
1151.9579,723.3305986,1207.9375
1152.0829,717.9565873,1143.5938
1090.8185,699.3806899,1057.125
1008.6393,727.3389031,965.375
921.31805,694.4711482,910.25
868.8968,651.3799404,898.09375
857.28516,655.0788298,882.28125
842.2463,644.0600891,863.59375
824.4649,635.5305462,853.1875
814.52625,619.1665633,868.96875
829.4893,575.0653933,896.53125
855.69104,605.4289521,869.875
830.3603,591.7229388,825.875
788.503,574.5804278,798.96875
762.9058,559.1191768,783.53125
748.2151,565.3754239,755.1875
