AT,Tmax,Tmin,GF,DPT,RH,Evap,PET,LCC,K,runoff
7.75,16.06,-0.92,7.14,-4.87,40.39,-1.1304,-2.93,0,-22.23,245.78906
5.5,12.53,-0.75,4.84,-8.69,35.16,-0.9352,-2.408,0,-23.85,242.72656
5.74,13.99,-1.09,5.31,-7.37,38.31,-0.856,-2.018,0,-6.18,239.88281
8.96,17.41,-0.6,8.38,-4.26,38.97,-0.9347,-2.465,0,1.72,237.20312
9.68,18.48,0.95,9.58,-0.94,47.49,-1.5542,-2.758,0.12,11.31,234.66406
-1.22,2.96,-5.76,-1.08,-11.72,44.69,-0.8642,-1.835,0.08,-13.51,237.50781
-2.4,2.36,-6.5,-2.47,-15.8,34.93,-0.7281,-2.047,0,-36.75,250.29688
-0.44,4.71,-5.98,-0.86,-9.19,51.6,-0.5891,-1.483,0,-21.14,260.85938
3.43,10.43,-4.44,3.78,-5.59,51.64,-0.659,-1.55,0,-3.9,259.0547
2.81,7.98,-1.81,0.87,-7.35,47.13,-0.4071,-1.137,0,-6.61,248.39062
5.81,12.63,-1.71,5.25,-4.48,47.55,-0.7746,-2.005,0.12,-16.85,237.46875
5.16,7.55,0.74,5.45,0.73,73.01,-0.703,-0.775,0.86,16.6,230.25
-0.59,4,-5.64,-1.87,-11.79,42.45,-0.7742,-1.649,0.02,-17.75,237.89844
-1.35,4.27,-5.18,-1.56,-12.18,43.5,-0.6947,-1.688,0,-24.91,269.96875
1.16,9.35,-4.42,0.5,-8.53,48.39,-0.6778,-1.546,0,-10.05,290
0.16,5.49,-4.62,-0.75,-11.13,42.37,-0.6222,-1.49,0,-11.36,284.5
3.42,10.25,-4.29,2.11,-7.56,44.41,-0.6312,-1.378,0.04,0.11,265.4922
-0.09,3.64,-4.27,-1.16,-2.92,81.2,-0.3163,-0.3,0.38,-1.27,246.3125
0.12,6.43,-3.84,-1.94,-5.94,63.68,-0.5145,-1.225,0,-13.55,232.35156
2.68,10.7,-3.98,0.32,-3.74,62.63,-0.485,-1.313,0,-19.53,224.65625
1.94,9.14,-4.8,-0.55,-5.66,57.08,-0.585,-1.505,0,-20.61,223.10938
3.01,7.47,-5.01,2.64,-5.59,53.18,-0.5151,-1.164,0,-13.04,224.26562
5.52,8.01,1.66,4.93,-1.28,61.53,-0.3793,-0.907,0.17,13.01,223.20312
5.98,10.45,2.26,5.38,-0.83,61.61,-0.5353,-1.099,0.16,8.68,222.71094
0.89,3.74,-2.89,0.39,-7.75,52.4,-0.4486,-1.264,0,-7.59,221.89844
-1.75,4.53,-6.27,-1.5,-11.46,47.46,-0.5273,-1.266,0,-28.2,219.53906
2.51,6.93,-5.74,2.08,-8.33,44.6,-0.5027,-1.256,0.03,-9.4,216.21875
-0.35,4.1,-6.51,-2.32,-15.88,29.85,-0.6084,-1.727,0,-18.87,213.0625
-0.34,6.54,-6.01,-1.07,-12.93,38,-0.5138,-1.37,0,-19.83,210.1875
1.51,10.46,-6.23,-0.51,-16.88,24,-0.5985,-1.673,0,-30.99,207.5
-3.43,0.53,-7.31,-3.92,-19.56,27.45,-0.397,-1.192,0,-29.1,205.14062
-2.63,3.56,-8.47,-3.21,-15.86,35.35,-0.2335,-1.057,0,-14.76,203.15625
1.06,6.79,-7.84,0.45,-12.39,35.88,-0.2405,-1.048,0.21,-11.64,201.39062
-1.1,3.27,-4.5,-2.17,-5.24,73.42,-0.2353,-0.815,0.05,-5.87,199.65625
-0.78,3.44,-5.84,-0.9,-12.99,39.07,-0.3508,-1.135,0.01,-13.76,197.69531
-3.37,1.49,-6.67,-3.18,-16.6,35.14,-0.3576,-1.105,0,-14.02,195.71094
-0.63,4.84,-6.21,-1.06,-12.99,38.63,-0.2874,-1.212,0,-7.28,193.75781
-4.28,0.09,-7.13,-3.92,-18.16,32.97,-0.3365,-1.217,0,-19.24,191.89062
-0.64,5.97,-6.96,-1.99,-12.48,40.31,-0.2674,-1.364,0,-0.04,190.07031
-3.53,2.97,-10.2,-3.43,-16.83,34.87,-0.4115,-1.303,0,-19.2,188.28906
-7.42,-3.04,-11.7,-5.86,-21.54,31.31,-0.2653,-1.098,0,-20.31,186.54688
-4.81,1.36,-11.13,-4.03,-18.88,32.28,-0.1906,-0.914,0,-9.42,184.86719
-3.58,3.03,-9.31,-4.36,-15.39,39.46,-0.1771,-0.977,0,-16.57,183.22656
-2.21,4.24,-8.94,-1.99,-12.56,44.93,-0.1765,-1.197,0,0.14,181.53125
-1.36,3.89,-6.56,-1.54,-9.22,55.05,-0.1374,-0.997,0.17,-2.38,179.76562
-0.69,0.44,-1.49,-1.28,-3.3,82.43,-0.0226,-0.237,0.78,10.37,178
-1.29,2.69,-4.04,-3.24,-3.65,83.99,-0.0719,-0.611,0.21,-20.53,176.26562
0.24,2.9,-3.7,-1.52,-2.75,80.31,-0.1622,-0.714,0.34,-9.27,174.57031
0.01,1.63,-3.55,-0.72,-3.78,75.62,-0.1945,-0.64,0.55,-15.83,172.89844
-4.11,-0.45,-8.76,-4.15,-15.56,40.51,-0.3284,-1.195,0,-39.74,171.19531
-3.65,0.6,-8.46,-2.86,-13.87,44.99,-0.2697,-1.063,0.01,-17.3,169.5
-1.61,1.59,-6.09,-1.75,-6.87,67.32,-0.0959,-0.567,0.07,-12.4,167.79688
-3.48,-1.29,-7.98,-4.06,-7.78,72.09,-0.0683,-0.433,0.47,-13.53,166.11719
-6.99,-3.88,-10.6,-7.46,-14.08,56.93,-0.1248,-0.908,0,-14.84,164.47656
-10.92,-5.01,-17.8,-10.51,-22.59,37.55,-0.154,-1.016,0,-32.63,162.83594
-12.51,-8.97,-17.1,-10.87,-22.78,41.99,-0.065,-0.728,0,-24.68,161.22656
-9.06,-3.7,-14.57,-8.55,-21.68,35.13,-0.1242,-1.091,0,-29.1,159.63281
-8.14,-5.16,-14.88,-8.19,-21.65,32.8,-0.0739,-0.751,0,-16.75,158.07812
-6.19,-1.57,-11.05,-6.1,-16.67,43.22,-0.0932,-0.914,0,-6.37,156.51562
-4.81,-0.42,-9.93,-5.66,-10.82,62.72,-0.083,-0.802,0.01,-0.04,154.9375
-6.7,-3.17,-12.83,-7.14,-17.58,41.61,-0.2541,-0.887,0.22,-23.34,153.33594
-10.87,-6.81,-14.82,-12.43,-23.82,33.54,-0.1524,-0.904,0,-30.06,151.74219
-8.25,-1.39,-15.43,-9.52,-24.96,24.63,-0.1028,-1.029,0,-24.98,150.14062
-5.73,0.54,-12.89,-7.08,-19.7,32.26,-0.1023,-1.129,0,-12.1,148.54688
-8.86,-3.33,-15.77,-8.52,-21.94,33.8,-0.0883,-0.983,0,-24.32,146.96875
-14.15,-10.4,-19.6,-13.75,-28.47,28.6,-0.0581,-0.787,0,-57.3,145.46875
-15.32,-9.78,-20.07,-14.58,-28.34,31.87,-0.0612,-0.661,0,-58.45,144.09375
-12.78,-7,-19.64,-11.34,-26.47,30.77,-0.075,-0.723,0,-25.93,142.79688
-11.41,-5.43,-16.88,-10.73,-25.33,30.59,-0.0801,-0.907,0,-31.77,141.48438
-7.56,-3.84,-16.16,-7.14,-21.87,30.75,-0.0901,-0.846,0,-21.39,140.10938
-6.17,0.03,-12.02,-7.05,-18.73,36.24,-0.0973,-0.987,0,-12.73,138.70312
-8.95,-2.33,-15.69,-9.44,-21.2,36.33,-0.0802,-1.039,0,-28.49,137.28125
-7.76,-0.69,-15.78,-8.13,-20.27,35.9,-0.0914,-0.847,0,-13.09,135.89062
-5.13,1.8,-12.63,-5.69,-15.76,43,-0.0977,-0.988,0,-11.15,134.53125
-4.8,2.49,-10.6,-5.69,-17.26,36.99,-0.095,-1.157,0,-22.79,133.17188
-3.1,5.6,-10.89,-4.19,-15.63,37.33,-0.1166,-1.284,0,-10.72,131.79688
-3.1,5.16,-10.89,-5.27,-16.98,33.34,-0.1097,-1.035,0,-36.2,130.42188
-1.86,2.22,-10.07,-3.41,-15.61,34.08,-0.0844,-0.766,0,-24.19,129.125
-2.82,3.37,-8.83,-4.28,-14.48,40.21,-0.101,-1.143,0,-15.62,127.828125
-3.89,3.61,-9.85,-4.32,-15.8,39.03,-0.1056,-1.265,0,-26.42,126.515625
-5.13,1.46,-10.12,-5.05,-18.44,34.34,-0.1016,-1.024,0,-44.12,125.234375
-2.46,4.17,-10.06,-3.07,-13.63,41.96,-0.1013,-1.118,0.03,-20.04,123.984375
-0.12,4.78,-8.44,0.36,-6.65,61.36,-0.1031,-0.958,0.47,-3,122.75
-1.59,0.75,-3.34,-1.14,-3.87,84.41,-0.0782,-0.495,0.9,0.48,121.53125
-3.87,0.81,-9.05,-6.12,-8.71,68.99,-0.1067,-0.98,0.14,0.27,120.375
-4.63,0.72,-9.99,-6.67,-9.91,66.54,-0.0702,-0.995,0,-3.15,119.21875
-1.56,5.3,-9.79,-4.13,-11.02,48.47,-0.1235,-1.266,0,-15.67,118.0625
-4.19,2.73,-10.21,-4.89,-15.92,39.55,-0.1199,-1.218,0,-34.24,116.84375
-1.36,7.9,-9.88,-2.78,-15.84,32.25,-0.1382,-1.509,0,-12.54,115.578125
-2.23,5.34,-8.6,-3.13,-14.1,39.69,-0.1266,-1.303,0,-10.32,114.3125
-0.65,8.2,-8.74,-1.44,-12.29,40.94,-0.1521,-1.37,0,-10.41,113.109375
0.61,7.23,-7.58,-1.34,-13.68,33.37,-0.1367,-1.194,0,-7.01,111.984375
2.68,10.65,-5.22,0.89,-11.44,34.47,-0.1621,-1.391,0,-10.75,122.5
3.52,11.23,-1.12,2.09,-4.9,54.09,-0.2183,-1.287,0.05,-3.61,178.65625
2.14,10,-5.42,0.5,-6.29,53.63,-0.3826,-1.09,0.22,-6.8,254.57812
-0.68,6.09,-7.45,-1.43,-13.24,38,-0.4229,-1.632,0,-11.48,291.76562
1.99,6.71,-7.57,2.98,-7.89,47.92,-0.4271,-1.426,0.31,-2.71,306.42188
1.77,7.06,-4.55,-0.21,-2.9,71.16,-0.2699,-0.781,0.18,-7.68,288.14062
1.28,6.28,-4.85,3.33,-4.78,63.98,-0.523,-1.505,0.34,1.14,255.23438
0.38,7.06,-5.23,-0.28,-9.42,47.74,-0.6106,-1.81,0.06,-19.71,224.6875
-0.69,5.06,-6.24,0.15,-15.63,31.25,-0.6471,-1.892,0,-21.16,201.95312
-4.28,-1.24,-7.61,-2.67,-21.71,24.26,-0.5258,-1.768,0,-21.29,185.9375
-2.88,1.42,-6.71,-1.94,-14.15,41.49,-0.2732,-1.228,0,-11.75,174.34375
0.38,7.02,-6.46,0.32,-8.22,52.43,-0.4141,-1.464,0,-12.82,165.375
1.05,6.33,-3.93,2.25,-7.09,54.52,-0.5589,-1.409,0.27,-0.96,158.0625
-4.11,-0.56,-9.25,-4.35,-14,46.04,-0.3129,-1.038,0.06,-14.65,151.8125
-3.3,2.68,-9.1,-2.81,-18.37,30.08,-0.3117,-1.637,0,-34.59,146.3125
-0.61,5.54,-7.74,-1.15,-16.8,28.19,-0.3323,-1.501,0,-15.68,141.46875
-2.46,3.34,-8.51,-3.05,-15.69,35.42,-0.2692,-1.639,0,-14.79,137.15625
0.46,7.55,-9.3,0.17,-11.68,39.64,-0.357,-1.921,0,-11.44,133.28125
1.78,7.01,-3.38,2.17,-7.03,51.98,-0.4297,-1.141,0.02,0.77,130.09375
0.16,5.07,-4.09,0.82,-16.03,28.41,-0.8088,-2.255,0.03,-11.37,127.34375
-4.84,-0.5,-9.51,-5.03,-18.14,34.47,-0.4242,-1.193,0,-23.61,124.53125
-2.53,3.43,-9.87,-1.63,-12.96,44.54,-0.4286,-1.729,0,-9.84,121.8125
-0.87,6.29,-7.07,-1.46,-15.23,32.73,-0.5661,-1.837,0,-21.48,119.3125
0.04,7.59,-6.65,-0.91,-15.36,30.29,-0.5375,-1.68,0,-22.32,116.9375
0.41,8.26,-6.39,0.55,-15.35,29.53,-0.635,-1.781,0,-9.19,114.71875
4.34,10.89,-5.38,2.39,-7.49,41.84,-0.5733,-1.457,0.02,-16.55,118.34375
5.65,12.6,0.29,4.26,-3.57,51.47,-0.7748,-1.848,0.03,-0.52,138.5
4.18,11.32,-3.21,2.87,-4.56,52.94,-0.6924,-1.528,0.01,-14.81,165.1875
5.49,13.45,-3.71,3.48,-10.54,30.4,-1.0364,-2.154,0,-12.49,194.25
8.4,15.97,-0.11,7.34,-4.39,40.07,-1.1349,-2.544,0,4.9,216.125
0.37,6.61,-5.45,0.2,-20.74,18.74,-0.9178,-2.741,0,-38.89,212.25
-1.48,2.65,-5.7,0.77,-17.31,28.76,-0.8175,-2.158,0,-38.05,194.28125
1.33,9.66,-4.84,1.27,-14.97,28.51,-0.9157,-2.256,0,-7.62,178.59375
5.84,14.82,-3.48,3.32,-16.16,18.8,-1.1751,-3.128,0,-8.46,166.5625
6.03,15.14,-2.41,4.58,-13.05,23.94,-1.104,-2.611,0,-8.75,155.75
10.66,20.67,0.43,9.1,-8.8,24.55,-1.2562,-3.513,0,-11.99,146.125
8.01,16.98,-0.51,6,-12.6,21.68,-1.0664,-3.604,0,-8.65,138.0625
11.86,23.27,0.18,8.96,-11.34,18.54,-1.2247,-4.198,0,0.03,131.3125
16.37,27.16,5.84,13.95,-8.41,17.44,-1.2647,-4.444,0,-10.21,125.5625
5.69,14.2,-3.21,5.12,-16.6,18.31,-0.6471,-4.157,0,-38.66,120.6875
6.67,11.18,-3.17,8.05,-15.21,19.2,-0.6488,-3.36,0,3.1,116.6875
8.35,11.86,4.69,8.99,-5.49,37.01,-0.4443,-2.562,0.05,13.5,113.5
8.06,13.5,2.27,6.9,-11.72,23.2,-0.6702,-3.823,0,-2.33,110.8125
7.68,14.32,1.88,8.8,-5.24,39.46,-0.703,-3.171,0,10.28,108.5
6.62,12.71,1.27,7.9,-3.27,49.23,-0.5137,-3.025,0.01,7.94,106.40625
10.35,18.13,1.67,10.4,-0.99,45.25,-0.6742,-3.22,0,5.78,104.4375
11.15,17.95,5.12,13.09,1.52,51.46,-0.6022,-2.876,0.06,16.52,102.625
12.75,19.86,5.86,11.3,-7.63,23.4,-0.804,-4.447,0.02,5.18,100.875
12.65,20.06,4.54,11.24,-10.89,18.24,-0.7557,-4.588,0,3.58,99.1875
13.06,22.88,2.65,13.46,-11.49,16.93,-0.8297,-5.271,0,-0.67,97.65625
8.78,14.38,1.98,10.56,-11.48,22.52,-0.602,-3.591,0,-0.7,96.53125
12.25,20.37,4.4,12.57,-7.89,23.71,-0.5453,-3.808,0,2.48,95.59375
11.45,16.93,4.27,12.59,-12.86,16.86,-0.58,-3.944,0,2.58,94.5625
9.71,17.71,3.07,10,-11.83,20.58,-0.503,-4.925,0,-29.14,93.34375
7.53,13.97,2.33,9.16,-12.39,22.79,-0.4875,-3.363,0,-2.46,92.09375
8.97,14.39,4.33,11.85,-3.57,41.03,-0.592,-3.217,0,15.87,90.875
11.01,17.64,5.19,11.76,-1.86,40.63,-0.876,-3.751,0,-3.19,90.53125
14.82,24.65,6.37,14.7,-9.23,18.07,-0.9997,-4.817,0,-3.01,89.84375
11.86,20.14,4.67,13.04,-11.34,18.54,-0.6866,-4.487,0,2.64,88.375
13.43,21.03,7.95,13.15,-2.37,33.34,-0.5284,-3.984,0,12.4,87.21875
10.52,17.34,2.86,11.42,-13.69,16.76,-0.4478,-4.663,0,-3.95,86.21875
12.67,19.43,6.56,13.58,-0.83,39.28,-0.6455,-3.54,0.02,12.27,85.375
8.59,14.57,2,7.61,-13.8,18.91,-0.4176,-4.293,0,-36.08,84.6875
12.48,18.8,2.87,14.11,-5.12,28.89,-0.4362,-4.536,0.1,-1.75,84.09375
15.32,21.49,9.27,16.83,1.82,40.05,-0.4426,-4.395,0,1.19,83.40625
9.83,15.34,6.21,10.63,0.23,51.22,-1.1306,-1.636,0.22,8.09,82.625
4.7,9.51,-1.55,4.41,-13.95,24.42,-0.5573,-3.753,0,-14.1,83.25
7.14,13.29,0.04,9.15,-13,22.29,-0.8629,-3.894,0,-17.33,85.21875
12.13,19.52,4.09,12.19,-11.29,18.29,-0.8914,-4.554,0,1.46,85.53125
3.55,8.57,-3.02,3.95,-22.56,12.73,-0.5011,-4.207,0,-18.91,85
4.79,10.46,-1.39,5.87,-20.86,13.54,-0.4837,-4.109,0,-20.98,83.90625
7.02,13.46,0.08,7.32,-14.68,19.58,-0.4411,-4.025,0,-2.01,82.59375
11.69,19.78,3.98,11.61,-10.58,19.93,-0.5505,-4.438,0,5.98,81.40625
14.98,24.76,4.64,14.59,-13.22,13,-0.5829,-5.559,0,-3.8,80.4375
18.5,27.16,8.4,17.03,-9.76,13.71,-0.6053,-6.28,0,2.5,79.5
18.7,29.17,9.43,17.85,-15.54,8.48,-0.6056,-6.623,0,-7.07,78.5
22.33,30.5,12.18,21.16,-14.95,7.12,-0.672,-6.413,0,-4.72,77.5
20.76,26.51,15.22,21.93,-2.97,20.05,-0.6011,-5.728,0,9.09,76.5
20.13,29.99,11.79,21.82,-1.51,23.22,-0.5929,-6.464,0.11,13.56,75.625
11.3,15.77,3.83,13.46,-2.25,38.7,-0.6256,-3.857,0.71,13.05,74.90625
3.34,4.85,0.95,3.75,0.51,81.68,-1.0168,-0.8,0.85,-4.98,76.375
7.75,11.8,4.5,9.84,1.37,63.99,-1.0994,-3.545,0.17,-6.88,90.96875
12.55,19,6.18,14.72,2.76,51.26,-1.4607,-4.324,0,3.91,125.84375
12.17,16.48,8.34,13.22,5.7,64.59,-0.885,-3.012,0.05,9.7,162.4375
13.16,20.16,5.94,12.88,-4.46,29.02,-1.4381,-5.595,0.03,-10.46,180.59375
14.7,22.28,6.68,14.52,-8.34,19.51,-1.4831,-5.425,0,-13.48,174.40625
14.68,22.89,6.47,15.34,-7.96,20.12,-1.2474,-5.333,0,-11.6,158.21875
21.49,30.13,12.81,21.05,0.15,24.11,-1.2555,-6.51,0,17.87,140.875
22.75,30.12,17.03,23.34,6.18,34.19,-0.9962,-6.177,0,21.45,125.28125
19.69,25.42,13.3,20.78,-3.81,20.12,-0.879,-7.143,0,-30.75,112.75
15.58,21.79,8.27,16.66,-6.87,20.66,-0.5906,-4.218,0,-21.45,103.5625
19.32,26.91,11.55,21.23,-6.66,16.59,-0.9311,-5.64,0,-4.97,96.9375
19.79,26.8,12.73,20.86,-5.04,18.22,-0.7321,-5.692,0,6.23,92.28125
18.18,24.32,10.03,21.33,3.77,38.35,-0.712,-5.124,0,17.16,89.125
20.93,28.17,14,23.12,-0.31,24.13,-0.7912,-5.896,0,6.41,87
21.1,26.86,15.07,22.94,4.34,33.29,-0.5773,-6.491,0,8.7,85.5625
20.94,26.4,16.32,23.54,5.07,35.36,-0.5568,-6.557,0.01,10.44,84.375
17.14,18.46,15.81,17.24,10.73,65.95,-0.2553,-1.986,0.7,26.67,83.5
17.99,22.39,13.26,18.55,10.16,60.19,-0.4738,-3.062,0.3,24.5,83.03125
15.99,21.48,12.17,18.47,8.42,60.75,-0.6173,-3.524,0.22,20.15,83.1875
15.61,21.41,6.98,16.54,-5.39,23.1,-0.767,-6.612,0,-12.42,83.5
18.23,26.79,8.77,19.43,-10.81,12.84,-0.8974,-6.36,0,-4.37,84.15625
22.06,30.92,13.33,22.62,-11.29,9.74,-0.9347,-7.032,0,-10.77,84.90625
24.65,33.78,15.76,24.93,-9.12,9.9,-0.91,-7.107,0,1.02,84.96875
25.13,31.63,18.33,27.06,-6.53,11.76,-0.7665,-7.225,0,13.16,84.28125
25.2,30.76,19.8,26.94,-0.51,18.38,-0.8731,-7.375,0,19.91,83.21875
23.25,27.6,16.93,25.76,1.69,24.2,-0.6441,-7.541,0.02,18.64,82.25
18.97,21.99,14.78,19.62,5.74,41.88,-0.4932,-3.55,0.07,20.25,81.90625
18.76,24.04,14.06,21.1,10.92,60.33,-0.4787,-3.568,0.04,7.2,83.15625
22.29,29.23,15.22,24.3,4.63,31.58,-0.7826,-6.377,0,4.57,85.84375
20.09,27.55,9.88,20.94,-9.26,12.92,-0.59,-7.825,0,-6.03,88.53125
25.62,32.18,15.86,26.95,-2.9,15.02,-0.7058,-8.42,0,9.63,89.5
27.53,36.36,19.56,27.85,5.26,24.14,-0.7648,-7.535,0,16,88.90625
22.78,31.18,17.58,25.77,10.91,47.06,-0.5576,-5.06,0,25.09,87.53125
20.71,24.48,16.65,24.57,13.14,61.85,-0.8456,-4.623,0.06,25.66,85.9375
21.58,25.9,17.21,22.73,12.75,57.15,-0.5786,-4.536,0.03,26.33,84.65625
20.69,25.19,17.28,21.98,14.92,69.52,-0.8389,-3.042,0.08,27.65,83.90625
21.81,26.85,15.9,23.16,13.04,57.46,-1.3332,-4.803,0.05,18.3,83.78125
23.29,29.49,13.28,26.64,12.76,51.55,-1.9351,-6.34,0.11,16.88,84.09375
16.55,22.87,11.3,17.99,0.37,33.35,-2.4966,-4.184,0.06,-13.92,88.28125
19.26,26.65,10.4,20.09,-2.97,22,-2.5554,-6.352,0,-24.87,106.65625
21.92,28.17,15.23,23.65,2.96,28.73,-2.2581,-6.401,0,-23.18,124.03125
22.58,28.9,14.35,23.37,6.8,36.07,-1.4228,-5.428,0,2.42,131.3125
25.94,33.82,18.75,27.12,4.85,25.77,-1.5158,-7.29,0,11.95,129.875
25.78,34.79,18.04,27.61,6.66,29.48,-0.9933,-7.482,0,17.47,121.8125
26.74,33.17,20.6,29.34,9.52,33.84,-0.9179,-7.598,0,21.18,112.21875
28.32,33.85,22.45,30.03,7.96,27.76,-0.5368,-9.003,0,14.65,103.90625
26.73,32.76,20.36,28.31,10.46,36.08,-0.3419,-7.059,0,21.32,97.53125
25.74,30.94,20.09,28.59,11.84,41.91,-0.447,-7.126,0.04,23.48,92.96875
27.21,33.91,22.06,31.74,11.42,37.37,-0.5767,-7.033,0.01,19.96,90.3125
21.75,28.12,15.6,25.54,14.52,63.48,-1.4466,-5.209,0.12,25.69,91.6875
19.4,23.67,14.69,18.52,4.93,38.54,-1.9507,-5.76,0.06,13.27,97.6875
18.81,24.34,11.65,21.12,2.64,34.02,-2.1721,-6.555,0,12.9,102.78125
20.08,25.62,14.14,22.79,1.45,28.88,-2.0044,-6.82,0,16.03,102.53125
23.57,29.49,17.35,25.37,2.16,24.55,-1.7799,-8.383,0,2.74,100.03125
24.7,29.8,19.3,27.02,7.25,32.75,-1.1803,-8.424,0,10.38,97.125
25.57,30.24,21.39,28.24,10.67,39.16,-0.8452,-7.459,0.01,26.07,93.875
27.61,32.07,23.34,30.75,12.17,38.35,-0.7789,-7.884,0,27,90.8125
26.72,30.17,23.25,28.86,14.74,47.78,-0.4958,-4.842,0.07,30.29,88.8125
28.37,32.85,23.32,31.12,14.02,41.42,-0.5395,-5.013,0.1,32.39,88.15625
26.1,30.55,22.53,28.35,12.06,41.61,-0.7221,-5.314,0.25,30.03,88.53125
20.43,22,19.1,20.75,15.4,72.87,-1.9185,-2.215,0.95,29.78,89.40625
19.37,20.86,18.65,19.23,16.93,85.81,-1.792,-1.584,0.99,30.53,97.0625
19.42,20.17,18.66,19.79,18.43,93.96,-0.9916,-0.696,0.87,27.18,158.40625
20.26,24.04,15.97,20.06,15.89,75.95,-1.9829,-2.92,0.27,16.17,295.6875
24.16,29.67,19.38,25.41,15.09,56.89,-4.165,-6.328,0,26.77,395.9375
25.61,30.78,21.44,25.26,16.78,58.15,-4.1357,-6.703,0,27.17,411.53125
25.76,33.29,19.9,25.78,14.2,48.83,-4.1527,-6.914,0,22.12,384.375
24.74,32.45,17.38,25.63,12.36,46.03,-4.0202,-7.171,0,22.52,347.84375
27.07,34.31,21.57,27.01,11.03,36.72,-3.9862,-7.406,0,19.33,309.34375
29.54,35.17,23.46,29.46,11.36,32.5,-3.5632,-9.542,0,18.32,271.375
28.79,33.68,23.4,30.39,14.43,41.5,-2.72,-8.766,0,10.91,237.4375
28.55,33.24,23.8,31.09,16.95,49.42,-2.1388,-7.716,0.02,24.49,208.09375
25.16,32.1,19.07,27.52,18.77,67.67,-2.3442,-5.673,0.13,28.3,184.15625
24.31,30.59,19.03,24.96,14.72,55.06,-4.5024,-6.811,0,8.86,174.5625
24.39,31.4,20.49,27.09,19.29,73.22,-4.0296,-5.234,0.31,33.7,184.10938
26.19,32.52,20.21,24.26,16.6,55.52,-4.1933,-5.562,0.04,19.2,204.57812
26.9,33.33,18.86,25.37,13.97,44.98,-5.1649,-7.072,0,1.43,240.98438
27.07,32.48,21.26,27.18,16.97,54,-4.6987,-7.132,0,16.05,268.14062
26.83,31.9,23.07,27.92,19.03,62.32,-3.9005,-6.424,0.04,25.53,266.875
21.8,23.16,20.78,22.33,20.07,89.92,-1.6748,-1.664,0.24,31.37,578.8906
21.04,22.17,20.16,21.4,20.22,95.09,-1.6453,-1.195,0.93,35.08,2039.7031
21.69,23.06,20.72,20.89,20.03,90.27,-1.0072,-0.801,0.62,32.03,2840.2188
22.97,25.52,21.09,22.23,19.8,82.34,-1.8268,-1.958,0.3,30.02,2786.4062
21.49,23.18,20.1,20.85,19,85.76,-1.2972,-1.284,0.37,32.16,2642.4688
22.27,23.49,20.98,22.88,18.73,80.37,-3.1686,-3.388,0.36,31.74,2400.0625
23.82,27.41,21.2,23.26,20.92,83.85,-2.4772,-2.697,0.33,32.5,2235.5938
21.84,25.77,17.83,20.15,18.99,83.85,-1.7234,-1.708,0.18,20.15,2419.5625
23.77,28.69,19.47,24,15.57,60.08,-4.7959,-5.845,0.03,0.42,2583.375
24.34,29.05,20.13,24.75,18.62,70.43,-4.3055,-5.46,0.03,26.04,2418.875
20.78,23.37,17.41,21.19,17.28,80.38,-2.618,-2.99,0.06,26.22,2162.5625
23.91,29.19,18.06,22.09,15.98,61.19,-4.5942,-5.754,0.01,9.35,1950.4219
25.38,31.02,20.65,25.31,17.63,62.19,-4.8103,-5.782,0.02,11.22,1767.0625
25.15,28.87,21.59,24.71,18.48,66.52,-4.0797,-5.209,0.04,22.41,1580.375
19.16,21.26,17.32,18.69,16.13,82.59,-1.4233,-1.136,0.45,23.52,1442.9062
23.2,28.52,18.67,23.48,17.42,69.97,-4.4408,-5.315,0,4.06,1366.25
25.29,29.7,20.94,25.68,19.76,71.45,-3.9574,-4.716,0.03,22.63,1268.5
22.94,26.01,20.76,22.89,20.9,88.28,-1.678,-1.509,0.26,33.53,1256.7969
25.71,30.39,21.99,26.04,22.46,82.25,-3.6836,-4.208,0.39,32.63,1462.0312
24.17,27.71,21.24,23.14,18.69,71.51,-3.5322,-4.258,0.26,24.13,1712.5
24.04,28.37,19.39,23.37,18.34,70.47,-3.1735,-3.734,0.01,22.96,1797.5938
21,24.96,17.79,20.59,17.69,81.36,-2.339,-2.666,0.05,21.17,1699.9844
24.86,30.56,19.34,24.5,17.93,65.4,-5.1274,-6.231,0,19.68,1535.6875
23.88,32.02,18.65,24.65,18.16,70.36,-4.8218,-5.72,0.03,29.47,1375.8125
25.32,31.1,20.97,25.22,19.03,68.16,-4.8286,-5.705,0,22.75,1258.2812
25.01,31.11,18.63,25.19,18.97,69.17,-4.643,-5.629,0.06,26.14,1160.9688
25.27,30.91,20.53,25.41,19.55,70.61,-4.5566,-5.623,0.1,24.74,1075.4688
27.09,31.98,22.98,26.33,20.12,65.69,-4.6694,-5.85,0.01,28.83,998.21875
27.16,32.36,21.57,27.51,20.17,65.62,-5.0749,-6.562,0.01,21.36,912.65625
26.15,31.49,19.83,26.45,20.58,71.41,-4.3922,-5.248,0.1,29.8,832.3594
18.9,20.23,16.97,17.82,16.7,87.03,-2.0326,-1.598,0.29,24.63,830.3125
21.5,26.37,17.24,21.86,17.78,79.35,-2.957,-3.552,0.04,14.53,938.2031
23.46,29.89,17.77,23.61,17.94,71.15,-4.5677,-5.41,0.02,10.04,1041.7344
26.83,31.4,20.74,26.34,19.79,65.35,-4.8431,-5.916,0.04,27.93,1027.8594
