Pre,Pre,runoff
250.95003,166.1422261,253.03906
242.73067,143.8160725,246.82031
236.70316,154.4438945,239.20312
229.52098,161.84599,230.72656
221.48988,165.7968363,224.83594
215.90118,166.8814502,219.39062
210.69148,161.5065382,215.20312
206.7032,132.1082034,221.42188
212.56218,125.4715725,231.64844
222.2739,124.6738827,231.91406
222.51271,125.4322251,225.77344
216.69913,122.3484929,219.41406
210.65465,112.0901295,211.84375
203.4504,97.54898721,201.00781
193.16324,100.9197303,188.90625
181.63724,112.9218825,178.02344
171.30902,129.3350105,170.125
163.82059,129.9791069,165.41406
159.34845,138.0710947,163.63281
157.66978,128.1251454,165.83594
159.72816,120.9009755,166.63281
160.48,123.956906,163.40625
157.40042,108.1538246,162.59375
156.5735,80.90487051,164.60156
158.41435,86.62644163,165.3125
159.12608,89.77415383,162.58594
156.5646,93.54149755,156.74219
150.99455,101.5842577,152.14844
146.65053,97.91909132,147.77344
142.46043,104.5276336,143.27344
138.20355,102.8661441,140.28125
135.34215,68.77801918,141.0625
135.97438,54.23514889,142.92188
137.74672,61.26517712,140.64062
135.58807,56.00081816,136.57812
131.7173,34.99313115,131.95312
127.319756,35.97176896,126.5
122.12376,53.88605619,121.515625
117.47247,57.94500021,119.046875
115.040054,80.3859735,120.28125
116.36047,93.09044187,126.046875
121.88485,75.164885,136.92188
132.12187,73.56855135,148.53125
143.17377,93.6062448,152.26562
146.76598,120.5817394,148.92188
143.72446,136.5462069,142.5
137.63875,133.398458,136
131.40547,133.1356427,131.45312
127.06129,146.331791,131.70312
127.338524,126.7241576,140.9375
136.03024,133.1601985,154.53125
149.02365,141.0606267,165.25
159.25087,143.7910262,170.59375
164.33928,153.8871529,170.9375
164.66527,165.9851767,175.9375
169.45561,159.5951051,184.32812
177.45746,152.2353092,187.25
180.27792,155.9326374,182.96875
176.19434,162.7717198,177.15625
170.63077,165.1762048,174.9375
168.53247,172.3410417,180.98438
174.29109,169.1902537,188.82812
181.7633,177.7984715,191.90625
184.73076,177.346018,193.5625
186.27515,175.1638734,193.6875
186.34938,192.4028064,193.78125
186.49342,199.2662612,198.10938
190.6685,211.851559,207.98438
200.08797,205.005371,223.23438
214.54489,215.450557,247.09375
237.30719,217.9836825,278.03125
266.6736,225.3754833,322
308.50525,251.1849112,349.34375
334.56113,267.8978334,352.5
337.58316,263.411342,345.53125
330.9535,264.8693877,333.59375
319.5945,271.7465198,320.21875
306.84265,281.6905944,308.84375
296.14093,309.4643034,304.5625
292.08865,312.8737133,309.15625
296.4602,288.1387781,335.9375
321.79517,264.0262891,395.59375
378.46573,250.6989049,432.28125
413.2563,249.0334039,434.46875
415.31134,245.9424294,422.0625
403.56888,257.2255099,405.1875
387.56516,264.2886273,382.03125
365.58017,261.8058879,359.375
344.0301,280.6124722,339.1875
324.91162,277.0961387,333.40625
319.40784,267.7896021,352.53125
337.56378,269.3549449,373.28125
357.3144,282.4802245,374.8125
358.7937,284.6149854,367.84375
352.17603,294.3249038,365
349.5122,303.1469018,362.53125
347.17188,313.4856313,361.3125
346.04947,324.8507493,363.1875
347.8745,334.261981,376.21875
360.1995,358.4541055,404.65625
387.40256,386.1295377,430.6875
412.18143,394.0351266,465.34375
445.08173,363.266825,526.65625
503.27094,320.9713722,579.25
553.1624,293.3983933,609.9375
582.3083,305.9661841,602.90625
575.6922,333.4822786,564.6875
539.3775,342.7627547,518.78125
495.76263,352.5156533,483.75
462.45505,338.6207458,460.78125
440.60767,334.8279697,443.6875
424.35403,351.835869,424.25
405.90247,371.5402746,399.71875
382.64032,400.5457057,380.96875
364.9049,378.0389511,400.03125
382.92096,334.3887466,491.4375
469.75,340.6005324,578.9375
552.991,369.6741235,596.40625
569.63043,377.8368198,577.28125
551.4123,379.8834853,546.125
521.7804,377.7102143,514.71875
491.96667,380.8037241,490.25
468.7353,382.9148666,489.59375
468.1142,369.3598513,493.59375
471.87836,350.9267321,506.03125
483.65887,352.5559515,525.90625
502.58322,374.8764273,531.03125
507.52396,399.2577129,526.09375
502.8637,382.4076437,547.8125
523.4443,366.0132371,595.125
568.4494,406.7690205,604.46875
577.3915,417.6317993,598.9375
572.14014,420.7033721,588.375
562.0768,410.6405247,578.46875
552.62787,423.0966549,565.9375
540.7756,431.3835016,546.78125
522.56195,433.6745179,517.5625
494.74292,439.2069463,491.25
469.78107,426.7175101,483.625
462.50848,388.7748041,512.09375
489.50745,398.4382461,585
558.8537,450.871685,652.0625
622.7587,443.6425712,714.15625
681.7111,452.9539516,750.5625
716.3924,524.4113178,717.625
685.15753,566.3942464,665.0625
635.3778,572.4108397,639.875
611.41974,558.418843,705.15625
673.3779,497.691939,959.625
915.3178,560.7060164,1207.8125
1151.444,669.9681674,1207.9375
1151.6245,683.3087219,1143.5938
1090.3595,665.9834547,1057.125
1008.09515,685.2906968,965.375
920.94867,656.4408538,910.25
868.534,638.5131961,898.09375
856.907,620.9935905,882.28125
841.87994,616.0042531,863.59375
824.0802,614.4206694,853.1875
814.2294,588.654622,868.96875
829.12317,566.829413,896.53125
855.3138,574.7375639,869.875
829.9864,567.7205625,825.875
788.1251,558.0880246,798.96875
762.5443,547.7578218,783.53125
747.8309,556.4208023,755.1875
720.8768,536.9782012,716.5
684.07806,487.0438879,705.71875
673.7125,495.784102,715.3125
682.8826,504.7128368,688.6875
657.5742,476.5897482,649.09375
619.785,489.1573255,615.375
587.7976,500.6806737,577.625
551.94965,484.8622904,543.8125
519.79767,489.7374053,525.90625
502.80502,509.4847244,523.5625
500.61337,499.3349825,525.71875
502.62238,498.3828254,524.9375
501.92514,409.6442265,540.28125
516.2452,415.6824366,582.6875
556.5297,462.631965,583.875
557.7487,495.6942719,550.125
525.835,483.0837277,519.03125
496.244,468.4672432,505.09375
482.98108,453.6482539,515.59375
492.94,471.8811634,529.34375
506.07098,490.9965222,520.0625
497.2818,504.8143561,501
479.16086,504.6578071,484.9375
463.897,520.3591924,473.09375
452.67407,517.8630559,470.5
450.20688,501.7987204,495.75
474.2142,467.5202635,556.5625
531.9487,476.8273738,653.71875
624.35736,530.0669891,674.21875
643.88226,552.8282359,640.75
612.0561,534.4222312,595.53125
569.0013,523.9645154,550.28125
525.9479,526.4378074,511.28125
488.96457,502.0052818,480.375
459.54184,474.780228,464.53125
444.4399,483.1820979,468.875
448.58856,504.1757239,468.46875
448.21967,519.2728505,457.6875
438.02707,507.8787232,452.90625
433.57202,532.499556,456.40625
436.74152,504.8204942,460.53125
440.68073,490.8670877,453.59375
434.0749,485.7421777,446.46875
427.19635,493.1945592,452.84375
433.3216,496.7586767,448.03125
428.7757,501.3724674,426.9375
408.7476,497.9756807,409.34375
392.0666,486.2022171,414.25
396.67712,477.7789972,465.46875
445.39813,493.5139554,522.0625
499.1978,516.906522,559.6875
535.0529,548.7167041,601.9375
575.3033,591.4154453,612.34375
585.3561,622.1059261,591.1719
565.199,595.2288241,584.8906
559.07086,552.3361715,605.1406
578.24567,557.9105527,663.5
633.85223,595.1570347,710.2031
678.36835,633.6449132,728.59375
695.8825,638.1103214,736.875
703.6994,632.1174267,727.9531
695.25104,626.9620929,717.125
684.8952,629.0726482,718.7031
686.55255,654.5871391,738.5156
705.20074,621.5759121,807.875
771.2457,663.6118421,911.8906
870.27795,719.6141488,962.4844
918.24725,707.7337217,1015.1406
968.3776,739.0966744,978.8906
933.98175,725.6590308,936.03125
893.2233,705.1608852,892.5625
851.6523,650.2526065,826.0156
788.29236,649.835961,755.875
721.5412,627.3113257,685.8281
655.236,659.6699362,626.375
598.65137,593.8832397,626.5469
598.6869,581.6451465,701.375
669.89294,602.3557247,736.4531
703.2367,598.9028408,720.4531
687.9898,605.0911415,687.9219
657.0002,603.4431342,662.34375
632.80255,604.7064677,645.8281
617.01697,556.0627092,644.96875
616.14874,545.9696516,656.4219
627.0567,548.3577037,661.4531
631.7597,570.6985688,640.21875
611.6379,559.7872186,631.15625
603.02655,557.0321064,688.34375
657.4573,591.0433146,847.7031
809.06793,648.1082113,1092.5
1042.0778,784.2855208,1221.8281
1165.0818,840.6421309,1241.0156
1183.485,837.2355765,1217.0938
1160.4589,771.2379419,1249.75
1191.4897,796.0240771,1308.3281
1247.2762,790.3686727,1278
1218.3563,737.4280109,1381.4062
1316.6873,795.3291876,1544.4688
1471.8599,852.6691259,1548.6562
1475.8577,871.7582242,1479.8594
1410.4337,865.3839115,1390.7344
1325.6703,840.3724802,1287.2969
1227.2825,810.6123262,1175.125
1120.5732,779.2014426,1103.8125
1052.7134,758.28473,1283.8594
1224.106,801.5533564,1725.6719
1644.2859,961.0197382,2085.9375
1987.1097,1069.645285,2111.6562
2011.4569,1097.183704,1984.2969
1890.3522,1051.515496,1808.6719
1723.2977,975.4572562,1638.875
1561.6497,922.0543668,1495.0469
1424.9028,875.0585623,1362.6875
1299.0093,837.909116,1279.1562
1219.5569,795.0173173,1225.7344
1168.7131,775.5181387,1190.1406
1134.897,762.4694389,1240.0938
1182.3683,755.9615819,1317.4844
1255.9387,777.9590321,1289
1228.8323,750.7634947,1204.2656
1148.1772,721.7987887,1161.8594
1107.8408,724.8204558,1124.75
1072.5979,732.6763525,1040.8281
992.8122,706.8241044,963.25
918.9744,677.7828586,899.9922
858.86536,671.0650776,897.4297
856.32904,652.0746698,944.0781
900.841,675.3071647,944.6719
901.2785,638.708015,969.59375
924.9601,637.1696933,1005.5156
959.05963,652.2760538,975.6797
930.6951,658.243115,908.1094
866.4974,653.1140951,839.75
801.50195,635.0848113,789.5625
753.81506,639.7379929,799.78125
763.5716,614.5905087,880.8203
840.48553,589.5556458,1021.5625
974.33966,618.6290768,1053.8203
1004.9797,626.1410248,1003.4297
957.03094,609.1636561,938.8047
895.5488,578.1252235,875.77344
835.58203,524.4386992,847.34375
808.46173,497.7082718,838.91406
800.4139,497.5084891,798.9453
762.4,495.2243047,745.0469
711.175,476.9306545,691.5625
660.28424,431.2749368,642.4219
613.41565,397.2141433,606.90625
579.63025,376.4075967,580.72656
554.68066,370.9881099,559.2344
534.23615,367.5768585,536.7031
512.79315,356.4407995,517.85156
494.86475,345.9010462,513.3125
490.55624,349.6013234,528.3906
504.927,357.1917861,548.28125
523.8669,367.9851241,536.5625
512.71936,365.5209592,508.35156
485.88464,360.4548684,483.1875
461.96265,350.8037027,467.89062
447.40952,350.6018383,455.08594
435.26678,351.9868669,444.34375
425.03595,350.6165164,431.20312
412.55908,343.1437457,432.9297
414.19238,337.9160354,460.64844
440.53827,344.2499965,470.21875
449.62396,348.6769213,459.1797
439.1277,352.3972675,444.41406
425.07715,359.2233998,424.1172
405.76163,324.953683,405.03906
387.56787,209.4061554,424.57812
405.85367,219.7834484,491.64062
469.72137,253.8795228,502.85938
480.42038,277.4302397,470.25
449.50787,268.2342161,432.0625
413.15616,258.9980946,400.07812
382.69928,257.4348468,371.23438
355.30414,252.8643298,343.4922
328.92374,241.2294545,321.1328
307.58337,240.7676804,302.67188
290.09198,241.2403963,285.3828
273.6676,220.2706556,267.75
256.80316,225.8212982,249.625
239.60483,232.8030454,234.71875
225.44852,197.7079372,227.26562
218.26448,169.4692317,234.63281
225.26732,177.5624271,252.34375
242.15247,191.6149376,256.875
246.50465,209.3691932,246.0625
236.30396,218.5132829,234.26562
225.06046,219.3996286,230.65625
221.6266,216.9070948,229.89062
220.88933,189.1105146,228.125
219.0994,170.2242748,228.74219
219.64369,174.5342883,229.53906
220.44736,180.9368964,223.75781
214.97179,188.9979467,211.99219
203.7786,196.2519732,198.76562
191.247,197.4928492,187.39844
180.44557,193.74296,179.85156
173.22783,191.43878,176.55469
170.09592,173.1889974,177.94531
171.37325,174.360319,182
175.23274,180.0272325,182.6875
175.89607,176.5911617,181.96094
175.23883,162.2759059,184.26562
177.42491,163.5467453,187.04688
180.01299,177.9574556,187.04688
179.99675,181.3943537,183.89062
177.01886,156.6494507,182.03125
175.19171,126.7581742,182.59375
175.63837,121.9976455,182.45312
175.50746,132.2388788,179.21875
172.46565,130.4766489,172.29688
165.87517,132.0857659,164.26562
158.31944,147.0934126,156.10938
150.63191,149.5318507,149.15625
143.97566,155.3164494,143.79688
138.88829,149.3292391,141.20312
136.42574,99.0489289,154.32812
148.72813,79.27859179,183.78125
176.71902,89.63150489,200.625
192.73859,92.44987649,197.20312
189.46791,101.742086,186.15625
179.00493,109.960169,176.9375
170.27936,122.1473091,169.89062
163.67107,128.8547687,162.07812
156.21211,142.1284141,156.125
150.55927,137.0593644,154.07812
148.56099,127.0943335,153.9375
148.43742,139.9097944,152.03125
146.67923,152.0462682,150.26562
145.00035,146.6743653,149.92188
144.63686,146.482929,149.48438
144.24092,140.2533761,149.65625
144.40785,137.11768,151.35938
146.02567,134.2975703,151.76562
146.36668,132.5618645,152.35938
146.94064,131.263994,152.98438
147.55305,132.9386221,150.78125
145.47456,140.1076823,147.23438
142.1369,142.597981,143.0625
138.21243,128.9543665,137.73438
133.00871,151.9491857,132.15625
127.841934,159.3482656,127.4375
123.359276,171.2341637,124.96875
121.01072,166.8268209,127.09375
123.006874,165.5026598,135.21875
130.74806,161.1096415,150.65625
145.40639,161.8917391,169.71875
163.51457,160.7593879,185.21875
178.24869,154.6753486,197.78125
190.15062,137.1393936,215.125
206.62999,132.0387092,229.625
220.40294,138.4175687,228.78125
219.60779,139.8974381,219.75
211.06741,140.6312246,214.5
206.05286,137.3751244,221.8125
212.98683,125.9127338,229.46875
220.26166,143.9206742,225.09375
216.1132,151.2644375,216.46875
207.89772,146.8303738,213.53125
205.09941,129.3236349,216.1875
207.53792,121.0512295,218.75
210.01749,117.7058296,216.25
207.64345,127.718491,206.9375
198.79938,145.0291734,197.6875
190.0743,148.6523437,189.5
182.33301,154.515784,182.5625
175.76045,162.6897225,177.75
171.20378,187.7476967,180.03125
173.41515,193.0087731,192.15625
184.93672,188.8750574,216.375
207.90367,163.230665,250.21875
240.03241,149.2187862,282.9375
271.09525,160.8375489,302
289.27148,175.2219388,303.46875
290.6973,170.2886184,295.4375
283.05957,148.4544358,280.46875
268.80533,159.6710577,262.5
251.74902,174.4944238,247.9375
237.90892,184.2680252,237.53125
228.0821,189.1618481,229.3125
220.25447,192.4600511,221.90625
213.2606,189.7030175,220.9375
212.25475,193.294543,224.28125
215.49934,208.3512514,224.6875
215.87848,218.5571304,224.78125
216.03177,236.1367429,230.375
221.42937,225.8511349,243.34375
233.70221,222.843412,259.78125
249.23466,245.8051088,274.5
263.2837,288.1158001,293.3125
281.38663,316.401856,324.1875
310.7827,350.8358878,365.03125
349.70496,382.2383381,412.65625
395.0513,396.4097816,464.71875
444.62726,423.1150693,511.4375
488.94284,429.8877732,548.59375
524.40643,460.221442,563.09375
538.1922,447.5866655,585.5
559.42175,462.0866323,634.875
606.47314,519.2452022,641.0625
612.2819,451.921038,645.59375
616.42633,397.0995471,681.4375
650.4628,397.2549751,688.96875
657.6413,419.1865072,665.03125
634.9318,417.4883273,629.15625
600.7795,415.3856714,593.78125
567.1799,372.2627056,581.84375
555.7356,359.6737783,599.78125
572.8074,381.219569,596.84375
570.0621,395.0579523,559.625
534.6999,375.6766791,521.65625
498.52835,336.6612952,513.0625
490.284,315.4483912,538.625
514.61694,339.858406,554.28125
529.55194,360.5775242,537.9375
514.0174,343.9267573,521.15625
498.01123,337.6242341,527.0625
503.62247,350.7122179,523.71875
500.4652,378.2315815,497.8125
475.88873,397.4725318,462.8125
442.69672,400.9746808,434.0625
415.35052,406.8276796,418.84375
