Predicted Sum,runoff
46.73085941,45.92188
44.47023438,44.375
43.74875005,43.8125
43.34531274,43.64844
43.06632788,43.35156
43.18898469,42.77344
42.34789034,41.82031
40.38804687,40.82813
39.35976542,40.00781
39.25968751,39.34375
38.23093724,38.75781
38.24046875,38.23438
36.64500003,37.79688
37.01835973,37.42969
36.1083597,37.05469
36.80375,36.64063
37.36757842,36.30469
36.39335942,35.95313
35.65406284,35.52344
35.52078123,35.07813
35.2330469,34.70313
34.72734345,34.32031
34.43164089,34.02344
32.93898407,33.82031
32.55812499,33.65625
32.9785153,33.50781
33.17101559,33.32813
32.35421875,33.3125
32.9192966,33.75781
35.04312467,34.88281
36.09078125,36.57813
36.93031245,38.10938
37.19664063,38.67188
37.81039064,38.14063
36.95421874,36.96875
35.08562501,35.59375
34.11093753,34.21875
32.97414062,33.04688
33.00757813,32.10938
31.71250004,31.32813
30.1475,30.76563
30.07781253,30.32813
29.78499995,29.96875
29.46062492,29.57813
29.40695313,29.10938
30.46609374,28.85938
30.29648438,29.60938
31.89195312,31.6875
34.37492186,35.59375
40.72835936,42.53125
50.83890625,50.34375
53.90976566,55.6875
57.8490625,57.70313
57.30640626,56.73438
54.63507813,53.53125
51.65195314,49.1875
46.27921877,44.92188
42.3328125,41.09375
38.8560156,37.9375
36.45749997,35.39063
33.86273439,33.65625
33.80429697,32.34375
30.97546884,31.10938
30.15343751,30.14063
29.4844531,29.375
28.95156243,28.78125
30.01679687,28.46875
28.61140622,28.25
28.3809375,27.98438
28.77679688,27.84375
28.35062502,27.75
28.02078125,27.625
27.08851559,27.46875
26.54804688,27.28125
27.07859375,26.78125
26.48609375,26.03125
26.07835937,25.21875
26.61421874,24.46875
24.02031248,23.875
23.88140629,23.40625
24.91328125,23.78125
25.7578125,25.59375
28.60484375,29.5
35.08078126,36.71875
44.75132814,46.9375
51.89867187,56.96875
62.0259375,65.09375
70.40171875,69.96875
70.21882826,70.53125
67.4507033,67.6875
65.6178125,63.1875
60.7309375,58.90625
56.18445314,55.53125
56.37828125,53.40625
54.07406256,53.8125
55.56328122,56.03125
59.11164064,58.90625
59.06734377,60.5
60.22156251,59.96875
60.10843756,57.71875
56.98039089,55.84375
65.37249999,56.40625
59.51515632,59.78125
63.40312501,65.96875
72.07734375,74.34375
75.5849222,80.71875
82.3360161,81.4375
78.6821096,77.375
71.63210956,70.9375
66.5825003,63.6875
59.69687498,57.34375
55.42671875,52.25
49.62226562,48.40625
47.31710939,45.75
44.97664065,44.90625
47.41765625,47
52.41656248,53.5
61.07531252,63.25
68.0171875,70.8125
72.93320316,73.59375
71.4804692,72.71875
70.02468765,70.0625
68.0440628,66.59375
62.42921875,63.125
59.81359376,60.28125
59.18460944,58.5625
59.13046875,57.53125
57.01976572,56.5625
56.27734373,56.125
56.16195312,55.53125
56.761875,54.46875
52.57078124,52.90625
50.84609376,50.9375
48.51765624,48.71875
47.66484374,46.84375
46.03125,46
46.44265626,46.84375
48.95031263,49.46875
52.23343744,53.59375
56.35648439,57.875
60.60476564,60.65625
60.82609375,61.375
60.47703126,60.5
58.2190625,58.5625
56.61953132,56.40625
55.78671875,54.5625
52.6183593,52.75
51.77382813,52.09375
52.59687499,53.65625
55.80484371,57.28125
60.30351566,63
66.20054687,67.5
74.69515626,68.21875
68.64664066,66.03125
62.8746875,62.53125
62.83039059,59.9375
61.491875,60.53125
65.980625,64.90625
